,ceo,value
0,Doug McMillon,"Born: October 17, 1966 (age 53 years), Memphis, TN', 'Nationality: American', 'Spouse: Shelley McMillon', 'Education: Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas', 'Children: Blake McMillon, Spencer McMillon', 'Parents: Laura McMillon, Morris McMillon"
1,Dai Houliang,Null
2,Ben van Beurden,"Born: April 23, 1958 (age 61 years), Netherlands', 'Full name: Bernardus Cornelis Adriana Margriet van Beurden', 'Nationality: Dutch', 'Spouse: Stacey van Beurden', 'Children: 4', 'Term: January 2014–present"
3,,
4,,
5,Amin H. Nasser,"Born: 1960 (age 60 years)', 'Nationality: Saudi', 'Education: جامعة الملك فهد للبترول والمعادن"
6,Bob Dudley,"Born: September 14, 1955 (age 64 years), Queens, New York, NY', 'Nationality: American', 'Spouse: Mary Dudley', 'Citizenship: United Kingdom; United States', 'Title: Former Group Chief Executive of BP', 'Education: University of Illinois at Urbana-Champaign, MORE"
7,Darren Woods,"Born: Wichita, KS', 'Spouse: Kathryn Woods', 'Predecessor: Rex W. Tillerson', 'Education: Kellogg School of Management, Texas A&M University"
8,Herbert Diess,"Born: October 24, 1958 (age 61 years), Munich, Germany', 'Education: Technische Universität München (1987), MORE', 'Board member of: Audi, Volkswagen Group, SEAT, Škoda Auto, Porsche Holding"
9,Akio Toyoda,"Born: May 3, 1956 (age 63 years), Nagoya, Aichi, Japan', 'Nationality: Japanese', 'Children: 2', 'Education: Babson College, Keio University', 'Parents: Shoichiro Toyoda, Hiroko Mitsui', 'Grandparents: Kiichiro Toyoda, Hatako Toyoda"
10,Tim Cook,"Born: November 1, 1960 (age 59 years), Mobile, AL', 'Height: 6′ 0″', 'Net worth: US$ 1.3 billion (2015)', 'Education: The Fuqua School of Business (1988), MORE', 'Parents: Geraldine Cook, Donald Cook', 'Siblings: Gerald Cook, Michael Cook"
