,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
0,"$43,425.30",$880,"$311,449.30","$21,006.50",2%,0.3%,4.2%,New York Life Insurance
1,"$43,332.90","$3,782.90","$360,361.10","$26,292.90",8.7%,1%,14.4%,Banco do Brasil
2,"$43,281.00","$6,921.00","$188,602.00","$22,290.00",16%,3.7%,31%,American Express
3,"$43,270.00",$512.6,"$214,141.90","$14,478.10",1.2%,0.2%,3.5%,Nationwide
4,"$43,263.20","$1,079.90","$39,199.60","$5,015.80",2.5%,2.8%,21.5%,ACS
5,"$43,008.40",$852.6,"$35,359.20","$10,256.00",2%,2.4%,8.3%,Shandong Weiqiao Pioneering Group
6,"$42,960.00","$4,516.00","$958,489.00","$52,928.00",10.5%,0.5%,8.5%,UBS Group
7,"$42,935.60","$1,115.70","$19,768.30","$5,596.40",2.6%,5.6%,19.9%,Bharat Petroleum
8,"$42,879.00","$1,464.00","$12,901.00","$3,306.00",3.4%,11.3%,44.3%,Best Buy
9,"$42,726.30",$631.3,"$36,868.00","$6,224.40",1.5%,1.7%,10.1%,Xiamen C&D
10,"$42,685.00","$2,160.00","$125,989.00","$20,735.00",5.1%,1.7%,10.4%,Liberty Mutual Insurance Group
11,"$42,607.70","$1,554.50","$117,702.00","$27,288.60",3.6%,1.3%,5.7%,China COSCO Shipping
12,"$42,527.00","$1,732.00","$86,258.00","$26,342.00",4.1%,2%,6.6%,Jardine Matheson
13,"$42,418.80",$90.8,"$72,966.00","$5,378.10",0.2%,0.1%,1.7%,Shaanxi Coal & Chemical Industry
14,"$42,390.50",$829.7,"$186,170.70","$9,959.00",2%,0.4%,8.3%,Talanx
15,"$42,370.90",$476.2,"$8,054.10","$2,996.20",1.1%,5.9%,15.9%,China National Aviation Fuel Group
16,"$42,302.00","$2,552.70","$43,677.50","$10,816.20",6%,5.8%,23.6%,Lufthansa Group
17,"$42,294.00","$6,220.00","$82,637.00","$26,701.00",14.7%,7.5%,23.3%,Merck
18,"$42,280.90",$8.9,"$156,327.20","$11,817.20",-,-,0.1%,China Huaneng Group
19,"$42,179.20","$1,547.20","$43,084.20","$11,116.80",3.7%,3.6%,13.9%,Bouygues
20,"$42,104.90","$5,081.80","$127,339.30","$67,295.30",12.1%,4%,7.6%,Sanofi
21,"$41,879.70","$1,890.80","$696,969.90","$19,192.10",4.5%,0.3%,9.9%,China Everbright Group
22,"$41,802.00","$6,765.00","$57,773.00","$18,180.00",16.2%,11.7%,37.2%,Honeywell International
23,"$41,437.50",$62.8,"$15,123.30","$1,259.90",0.2%,0.4%,5%,Xiamen ITG Holding Group
24,"$41,395.40","$3,557.10","$129,202.30","$41,813.50",8.6%,2.8%,8.5%,Iberdrola
25,"$41,303.00","$2,129.00","$44,792.00","$9,995.00",5.2%,4.8%,21.3%,United Airlines Holdings
26,"$41,256.00","$3,169.00","$56,636.00","$32,621.00",7.7%,5.6%,9.7%,Maersk Group
27,"$41,198.70","$8,751.50","$1,016,604.20","$60,198.80",21.2%,0.9%,14.5%,Toronto-Dominion Bank
28,"$41,108.50","$4,832.30","$73,941.20","$5,552.00",11.8%,6.5%,87%,GlaxoSmithKline
29,"$41,052.10","$1,560.50","$568,190.20","$38,126.30",3.8%,0.3%,4.1%,TIAA
30,"$40,993.00","$4,059.90","$24,449.10","$10,364.80",9.9%,16.6%,39.2%,Accenture
31,"$40,827.00","$2,296.00","$25,945.00","$10,701.00",5.6%,8.8%,21.5%,Magna International
32,"$40,766.10","$2,044.20","$39,362.20","$21,685.60",5%,5.2%,9.4%,Mitsubishi Electric
33,"$40,640.80",$844.7,"$20,932.80","$8,614.30",2.1%,4%,9.8%,Cedar Holdings Group
34,"$40,571.00",$355,"$18,440.00","$5,026.00",0.9%,1.9%,7.1%,Louis Dreyfus
35,"$40,522.00","$13,638.00","$90,949.00","$43,686.00",33.7%,15%,31.2%,Rio Tinto Group
36,"$40,454.20",$380,"$8,322.90","$2,132.20",0.9%,4.6%,17.8%,Edeka Zentrale
37,"$40,240.50","$2,833.30","$326,182.50","$20,964.00",7%,0.9%,13.5%,Caixa Econômica Federal
38,"$40,052.00","$3,024.00","$29,109.00","$12,803.00",7.6%,10.4%,23.6%,Tyson Foods
39,"$39,831.00","$3,825.00","$137,264.00","$45,726.00",9.6%,2.8%,8.4%,Oracle
40,"$39,815.00","$2,252.00","$112,249.00","$21,312.00",5.7%,2%,10.6%,Allstate
41,"$39,750.30",$127.7,"$5,676.90","$1,815.40",0.3%,2.2%,7%,World Fuel Services
42,"$39,598.20","$5,618.80","$1,011,101.20","$56,063.00",14.2%,0.6%,10%,ING Group
43,"$39,594.70",$244.1,"$26,177.30","$4,004.80",0.6%,0.9%,6.1%,Centrica
44,"$39,581.60","$3,058.50","$38,408.50","$12,099.60",7.7%,8%,25.3%,Midea Group
45,"$39,571.00","$2,392.20","$64,811.50","$17,614.80",6%,3.7%,13.6%,Fresenius
46,"$39,267.20",$397.9,"$265,812.60","$15,609.80",1%,0.1%,2.5%,Massachusetts Mutual Life Insurance
47,"$39,050.60","$4,779.70","$900,365.10","$61,739.10",12.2%,0.5%,7.7%,Intesa Sanpaolo
48,"$39,004.00","$4,688.00","$28,278.00","$10,257.00",12%,16.6%,45.7%,LyondellBasell Industries
49,"$38,972.90","$3,059.80","$14,326.00","$5,048.60",7.9%,21.4%,60.6%,TJX
50,"$38,887.30",$-258,"$44,774.80","$3,398.00",-0.7%,-0.6%,-7.6%,Yankuang Group
51,"$38,727.00","$6,257.00","$69,980.00","$31,939.00",16.2%,8.9%,19.6%,ConocoPhillips
52,"$38,278.30","$2,862.30","$1,443,122.60","$79,658.80",7.5%,0.2%,3.6%,Barclays
53,"$38,064.00",$287.4,"$30,669.20","$10,370.30",0.8%,0.9%,2.8%,J. Sainsbury
54,"$37,869.80","$1,846.40","$47,048.10","$18,100.80",4.9%,3.9%,10.2%,China Aerospace Science & Industry
55,"$37,727.60","$2,463.70","$63,496.80","$27,835.00",6.5%,3.9%,8.9%,China Aerospace Science & Technology
56,"$37,722.90","$2,070.60","$380,597.40","$12,917.60",5.5%,0.5%,16%,Meiji Yasuda Life Insurance
57,"$37,474.80",$442.9,"$32,084.10","$5,887.50",1.2%,1.4%,7.5%,George Weston
58,"$37,388.90","$5,313.10","$48,482.60","$10,687.10",14.2%,11%,49.7%,SNCF Mobilités
59,"$37,371.20","$2,141.50","$39,161.80","$13,833.60",5.7%,5.5%,15.5%,Daiwa House Industry
60,"$37,360.00","$2,173.00","$44,441.00","$13,952.00",5.8%,4.9%,15.6%,ABB
61,"$37,357.70","$2,368.40","$70,108.00","$11,287.80",6.3%,3.4%,21%,Deere
62,"$37,239.00",$340.6,"$12,986.60","$2,936.70",0.9%,2.6%,11.6%,Tech Data
63,"$37,112.20","$1,033.20","$331,211.90","$11,070.60",2.8%,0.3%,9.3%,Power Corp. of Canada
64,"$37,047.00",$462,"$207,570.00","$27,930.00",1.2%,0.2%,1.7%,Swiss Re
65,"$37,032.20","$2,014.80","$29,052.70","$11,785.70",5.4%,6.9%,17.1%,Suning.com Group
66,"$36,783.50",$914.1,"$46,469.00","$12,929.20",2.5%,2%,7.1%,Mitsubishi Heavy Industries
67,"$36,763.10","$14,125.40","$57,056.90","$41,987.70",38.4%,24.8%,33.6%,SK Hynix
68,"$36,696.00","$6,860.00","$88,190.00","$43,985.00",18.7%,7.8%,15.6%,Vale
69,"$36,534.20","$4,172.40","$56,969.80","$23,853.50",11.4%,7.3%,17.5%,Enterprise Products Partners
