,index,ceo,value,Born,Nationality,Education,BoY,us_abbr,born_country
0,0,Doug McMillon,"Born: October 17, 1966 (age 53 years), Memphis, TN', 'Nationality: American', 'Spouse: Shelley McMillon', 'Education: Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas', 'Children: Blake McMillon, Spencer McMillon', 'Parents: Laura McMillon, Morris McMillon","October 17, 1966 (age 53 years), Memphis, TN",American,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966,TN,
1,2,Ben van Beurden,"Born: April 23, 1958 (age 61 years), Netherlands', 'Full name: Bernardus Cornelis Adriana Margriet van Beurden', 'Nationality: Dutch', 'Spouse: Stacey van Beurden', 'Children: 4', 'Term: January 2014–present","April 23, 1958 (age 61 years), Netherlands",Dutch,,1958,,Netherlands
2,5,Amin H. Nasser,"Born: 1960 (age 60 years)', 'Nationality: Saudi', 'Education: جامعة الملك فهد للبترول والمعادن",1960 (age 60 years),Saudi,جامعة الملك فهد للبترول والمعادن,1960,,
3,6,Bob Dudley,"Born: September 14, 1955 (age 64 years), Queens, New York, NY', 'Nationality: American', 'Spouse: Mary Dudley', 'Citizenship: United Kingdom; United States', 'Title: Former Group Chief Executive of BP', 'Education: University of Illinois at Urbana-Champaign, MORE","September 14, 1955 (age 64 years), Queens, New York, NY",American,"University of Illinois at Urbana-Champaign, MORE",1955,NY,
4,7,Darren Woods,"Born: Wichita, KS', 'Spouse: Kathryn Woods', 'Predecessor: Rex W. Tillerson', 'Education: Kellogg School of Management, Texas A&M University","Wichita, KS",American,"Kellogg School of Management, Texas A&M University",,KS,
5,8,Herbert Diess,"Born: October 24, 1958 (age 61 years), Munich, Germany', 'Education: Technische Universität München (1987), MORE', 'Board member of: Audi, Volkswagen Group, SEAT, Škoda Auto, Porsche Holding","October 24, 1958 (age 61 years), Munich, Germany",Germany,"Technische Universität München (1987), MORE",1958,,Germany
6,9,Akio Toyoda,"Born: May 3, 1956 (age 63 years), Nagoya, Aichi, Japan', 'Nationality: Japanese', 'Children: 2', 'Education: Babson College, Keio University', 'Parents: Shoichiro Toyoda, Hiroko Mitsui', 'Grandparents: Kiichiro Toyoda, Hatako Toyoda","May 3, 1956 (age 63 years), Nagoya, Aichi, Japan",Japanese,"Babson College, Keio University",1956,,Japan
7,10,Tim Cook,"Born: November 1, 1960 (age 59 years), Mobile, AL', 'Height: 6′ 0″', 'Net worth: US$ 1.3 billion (2015)', 'Education: The Fuqua School of Business (1988), MORE', 'Parents: Geraldine Cook, Donald Cook', 'Siblings: Gerald Cook, Michael Cook","November 1, 1960 (age 59 years), Mobile, AL",American,"The Fuqua School of Business (1988), MORE",1960,AL,
8,11,Warren Buffett,"Born: August 30, 1930 (age 89 years), Omaha, NE', 'Net worth: 73.4 billion USD (2020)', 'Education: Columbia Business School (1950–1951), MORE', 'Spouse: Astrid Menks (m. 2006), Susan Buffett (m. 1952–2004)","August 30, 1930 (age 89 years), Omaha, NE",American,"Columbia Business School (1950–1951), MORE",1930,NE,
9,12,Jeff Bezos,"Net worth: 106.2 billion USD (2020) Trending', 'Born: January 12, 1964 (age 56 years), Albuquerque, NM', 'Height: 5′ 7″', 'Nationality: American', 'Children: 4', 'Education: Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School, University of Florida","January 12, 1964 (age 56 years), Albuquerque, NM",American,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School, University of Florida",1964,NM,
10,15,Ivan Glasenberg,"Born: January 1957 (age 63 years), Johannesburg, South Africa', 'Net worth: 2.9 billion USD (2020)', 'Spouse: Elana Glasenberg', 'Children: 2', 'Known for: CEO of Glencore', 'Education: Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California","January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957,,Africa
11,17,Ola Källenius,"Born: June 11, 1969 (age 50 years), Västervik, Sweden', 'Employer: Daimler AG', 'Education: University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium","June 11, 1969 (age 50 years), Västervik, Sweden",Sweden,"University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium",1969,,Sweden
12,18,Larry J. Merlo,"Born: 1956 (age 64 years), Pittsburgh, PA', 'Nationality: American', 'Spouse: Lee Ann Merlo', 'Education: University of Pittsburgh School of Pharmacy (1978)', 'Residence: Rhode Island","1956 (age 64 years), Pittsburgh, PA",American,University of Pittsburgh School of Pharmacy (1978),1956,PA,
13,19,Patrick Pouyanné,"Born: June 24, 1963 (age 56 years), Le Petit-Quevilly, France', 'Education: École Polytechnique","June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963,,France
14,21,Jeremy Weir,"Born: 1964 (age 56 years), Melbourne, Australia', 'Education: University of Melbourne', 'Predecessor: Claude Dauphin","1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964,,Australia
15,22,Terry Gou,"Born: October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan', 'Nationality: Taiwanese', 'Net worth: 5.8 billion USD (2020)', 'Spouse: Delia Tseng (m. 2008), Serena Lin (m. 1974–2005)', 'Education: Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School', 'Children: Gou Shou-zheng, Gou Xiao-ling, Gou Shou-shan, Gou Xiao-ru","October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwanese,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950,,Taiwan
16,23,John Elkann,"Born: April 1, 1976 (age 43 years), New York, NY', 'Spouse: Lavinia Borromeo (m. 2004)', 'Education: Polytechnic University of Turin', 'Siblings: Lapo Elkann, Ginevra Elkann, Anna de Pahlen, Maria de Pahlen, Pietro de Pahlen, Tatiana de Pahlen, Sofia de Pahlen', 'Children: Oceano Noah Elkann, Leone Mosé Elkann, Vita Talita Elkann', 'Parents: Alain Elkann, Margherita Agnelli","April 1, 1976 (age 43 years), New York, NY",American,Polytechnic University of Turin,1976,NY,
17,24,Randall L. Stephenson,"Born: April 22, 1960 (age 59 years), Oklahoma City, OK', 'Nationality: American', 'Spouse: Lenise Stephenson', 'Children: 2', 'Residence: Dallas, TX', 'Education: The University of Oklahoma, University of Central Oklahoma","April 22, 1960 (age 59 years), Oklahoma City, OK",American,"The University of Oklahoma, University of Central Oklahoma",1960,OK,
