,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
1,Doug McMillon,1,"October 17, 1966 (age 53 years), Memphis, TN",United States,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966.0,2016.0
2,Shu Yinbiao,2,1958 (age 62 years),,North China Electric Power University,1958.0,2016.0
3,Wang Yilin,3,"September 1956 (age 63 years), Jiangsu, China",China,"China University of Petroleum, China University of Petroleum (Huadong)",1956.0,2016.0
4,Wang Yupu,4,"October 1956 (age 63 years), Xinmin, Liaoning, Shenyang, China",China,Northeast Petroleum University,1956.0,2016.0
5,Ben van Beurden,5,"April 23, 1958 (age 62 years), Netherlands",Netherlands,Delft University of Technology (1981–1983),1958.0,2016.0
6,Darren Woods,6,"Wichita, KS",United States,"Kellogg School of Management, Texas A&M University",,2016.0
7,Akio Toyoda,8,"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan",Japan,"Babson College, Keio University",1956.0,2016.0
8,Tim Cook,9,"November 1, 1960 (age 59 years), Mobile, AL",United States,"The Fuqua School of Business (1988), MORE",1960.0,2016.0
9,Bob Dudley,10,"September 14, 1955 (age 64 years), Queens, New York, NY",United States,"University of Illinois at Urbana-Champaign, MORE",1955.0,2016.0
10,Warren Buffett,11,"August 30, 1930 (age 89 years), Omaha, NE",United States,"Columbia Business School (1950–1951), MORE",1930.0,2016.0
11,John H. Hammergren,12,"February 20, 1959 (age 61 years), Saint Paul, MN",United States,"Williams College of Business (1987), MORE",1959.0,2016.0
12,Kwon Oh-hyun,13,"October 15, 1952 (age 67 years), South Korea",South Korea,"Seoul National University (1975), Stanford University, KAIST",1952.0,2016.0
13,Ivan Glasenberg,14,"January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957.0,2016.0
14,Yi Huiman,15,"December 1964 (age 55 years), Cangnan County, Wenzhou, China",China,"Nanjing University, Zhejiang Financial College, Guanghua School of Management",1964.0,2016.0
15,Dieter Zetsche,16,"May 5, 1953 (age 66 years), İstanbul, Turkey",Turkey,"University of Paderborn, Karlsruhe Institute of Technology",1953.0,2016.0
16,Stephen J. Hemsley,17,"1952 (age 68 years), United States",United States,"Fordham University, Gabelli School of Business",1952.0,2016.0
17,Larry J. Merlo,18,"1956 (age 64 years), Pittsburgh, PA",United States,University of Pittsburgh School of Pharmacy (1978),1956.0,2016.0
18,John Elkann,19,"April 1, 1976 (age 44 years), New York, NY",United States,Polytechnic University of Turin,1976.0,2016.0
19,Mary T. Barra,20,"December 24, 1961 (age 58 years), Waterford, MI",United States,"Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",1961.0,2016.0
20,Randall L. Stephenson,23,"April 22, 1960 (age 60 years), Oklahoma City, OK",United States,"The University of Oklahoma, University of Central Oklahoma",1960.0,2016.0
21,Patrick Pouyanné,24,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963.0,2016.0
22,Terry Gou,25,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwan,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950.0,2016.0
23,Jeff Immelt,26,"February 19, 1956 (age 64 years), Cincinnati, OH",United States,"Harvard Business School (1982), Dartmouth College (1978), Harvard University, Finneytown Secondary Campus",1956.0,2016.0
24,Steven H. Collis,28,"1961 (age 59 years), South Africa",Africa,"University of the Witwatersrand, Johannesburg",1961.0,2016.0
25,Lowell C. McAdam,30,"May 28, 1954 (age 65 years), Buffalo, NY",United States,"University of San Diego School of Business Administration, MORE",1954.0,2016.0
26,John S. Watson,31,"October 1956 (age 63 years), California",California,"The University of Chicago (1980), MORE",1956.0,2016.0
27,Johannes Teyssen,32,"October 9, 1959 (age 60 years), Hildesheim, Germany",Germany,University of Göttingen,1959.0,2016.0
28,Henri de Castries,33,"August 15, 1954 (age 65 years), Bayonne, France",France,"École Nationale d'Administration (1980), HEC Paris""",1954.0,2016.0
29,Oliver Bäte,34,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany",Germany,"University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",1965.0,2016.0
30,Takahiro Hachigo,36,"May 19, 1959 (age 60 years), Japan",Japan,Tokyo City University,1959.0,2016.0
31,Masatsugu Nagato,37,"November 18, 1948 (age 71 years), Otaru, Hokkaido, Japan",Japan,Hitotsubashi University,1948.0,2016.0
32,W. Craig Jelinek,38,"August 8, 1952 (age 67 years), California",United States,San Diego State University (1975),1952.0,2016.0
33,Jean-Laurent Bonnafé,39,"July 14, 1961 (age 58 years), Clichy, France",France,"École Polytechnique, Lycée Louis-le-Grand",1961.0,2016.0
34,Timothy J. Mayopoulos,40,"March 7, 1959 (age 61 years), West Reading, PA",United States,"Cornell University, NYU School of Law",1959.0,2016.0
35,Ma Mingzhe,41,"December 1955 (age 64 years), China",China,Zhongnan University of Economics and Law,1955.0,2016.0
36,Rodney McMullen,42,"July 25, 1960 (age 59 years), Pineville, KY",United States,University of Kentucky,1960.0,2016.0
37,Frédéric Oudéa,43,"July 3, 1963 (age 56 years), Paris, France",France,"Sciences Po, École Nationale d'Administration, École Polytechnique""",1963.0,2016.0
38,Jeff Bezos,44,"January 12, 1964 (age 56 years), Albuquerque, NM",United States,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School",1964.0,2016.0
39,Li Yue,45,"1959 (age 61 years), China",China,Beijing University of Posts and Telecommunications,1959.0,2016.0
40,Stefano Pessina,47,"June 4, 1941 (age 78 years), Pescara, Italy",Italy,"University of Milan, Politecnico di Milano",1941.0,2016.0
41,Dion Weisler,48,"August 20, 1967 (age 52 years), Australia",Australia,Monash University,1967.0,2016.0
42,Philippe Donnet,49,"July 26, 1960 (age 59 years), Suresnes, France",France,École Polytechnique,1960.0,2016.0
43,George S. Barrett,50,1957 (age 63 years),,"NYU Stern School of Business (1988), Brown University (1977), Staples High School, New York University",1957.0,2016.0
44,Harald Krüger,51,"October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany",Germany,"RWTH Aachen University (1991), MORE",1965.0,2016.0
45,Tim Wentworth,52,,,"Cornell University, Monroe Community College",,2016.0
46,Carlos Ghosn,53,"March 9, 1954 (age 66 years), Guajará-Mirim, State of Rondônia, Brazil","Brazilian, Lebanese, French","Mines ParisTech (1978), École Polytechnique (1974), MORE",1954.0,2016.0
47,Jamie Dimon,55,"March 13, 1956 (age 64 years), New York, NY",United States,"Harvard Business School (1982), Tufts University, Browning School",1956.0,2016.0
48,Guiqing Yao,57,,,,,2016.0
49,Pedro Parente,58,"February 21, 1953 (age 67 years), Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,University of Brasília,1953.0,2016.0
50,Jeremy Weir,59,"1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964.0,2016.0
51,Hiroo Unoura,60,"January 13, 1949 (age 71 years), Nanao, Ishikawa, Japan",Japan,The University of Tokyo,1949.0,2016.0
52,Dennis Muilenburg,61,"1964 (age 56 years), Orange City, IA",United States,"Sioux Center Community School District (1982), University of Washington, Iowa State University",1964.0,2016.0
53,Satya Nadella,63,"August 19, 1967 (age 52 years), Hyderabad, India",India,"University of Wisconsin-Milwaukee (1990), MORE', ""Books: Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone"", 'Children: Zain Nadella, Tara Nadella, Divya Nadella",1967.0,2016.0
54,Brian Moynihan,64,"October 9, 1959 (age 60 years), Marietta, OH",United States,"Notre Dame Law School (1984), Brown University (1981), University of Notre Dame",1959.0,2016.0
55,Claudio Descalzi,65,"1955 (age 65 years), Milan, Italy",Italy,University of Milan,1955.0,2016.0
56,Paul Bulcke,66,"September 8, 1954 (age 65 years), Roeselare, Belgium",Belgium,"IMD Business School, Vlerick Business School - Ghent, Katholieke Universiteit Leuven",1954.0,2016.0
57,Timothy J. Sloan,67,"Cleveland, OH",United States,University of Michigan,,2016.0
58,Stuart Gulliver,68,"March 9, 1959 (age 61 years), United Kingdom",United Kingdom,"University of Oxford, Worcester College, Oxford",1959.0,2016.0
59,Craig Menear,69,"1958 (age 62 years), Flint, MI",United States,"Eli Broad College of Business, Central High School, Michigan State University",1958.0,2016.0
60,Michael Corbat,70,"May 2, 1960 (age 59 years), Bristol, CT",United States,Harvard University (1983),1960.0,2016.0
61,Joe Kaeser,71,"June 23, 1957 (age 62 years), Arnbruck, Germany",Germany,Ostbayerische Technische Hochschule (OTH) Regensburg,1957.0,2016.0
62,David John Lewis,72,"May 1, 1869, Centre County, PA",United States,,1869.0,2016.0
63,Georges Plassat,73,"March 25, 1949 (age 71 years), Bollène, France",France,"Cornell University, EHL - Ecole hôtelière de Lausanne",1949.0,2016.0
64,Greg Garland,74,,,Texas A&M University,,2016.0
65,José Antonio Alvarez (José Antonio Álvarez Álvarez),75,"January 6, 1960 (age 60 years), León, Spain",Spain,,1960.0,2016.0
66,Philippe Brassac,77,"August 31, 1959 (age 60 years), Nîmes, France",France,ENSAE Paris,1959.0,2016.0
67,Francesco Starace,78,"1955 (age 65 years), Rome, Italy",Italy,Politecnico di Milano,1955.0,2016.0
68,Jean-Bernard Lévy,80,"March 18, 1955 (age 65 years), Suresnes, France",France,"École Polytechnique, Télécom Paris",1955.0,2016.0
69,Zhu Yanfeng,81,"March 1961 (age 59 years), China",China,Zhejiang University,1961.0,2016.0
70,Ginni Rometty,82,"July 29, 1957 (age 62 years), Chicago, IL",United States,Robert R. McCormick School of Engineering and Applied Science at Northwestern,1957.0,2016.0
71,Joseph W. Gorder,83,May 1957 (age 62 years),,"University of Missouri-St. Louis, Our Lady of the Lake School of Business",1957.0,2016.0
72,Chung Mong-koo,84,"March 19, 1938 (age 82 years), Tongchŏn, North Korea",South Korea,,1938.0,2016.0
73,Joseph R. Swedish,85,"May 17, 1951 (age 68 years), Richmond, VA",United States,"Benedictine College Preparatory, UNC Charlotte",1951.0,2016.0
74,David S. Taylor,86,"April 20, 1958 (age 62 years), Charlotte, NC",United States,"Duke University (1980), West Charlotte High School",1958.0,2016.0
75,Volkmar Denner,87,"November 30, 1956 (age 63 years), Uhingen, Germany",Germany,"University of Stuttgart (1985), University of Stuttgart (1981)",1956.0,2016.0
76,Isabelle Kocher,89,"December 9, 1966 (age 53 years), Neuilly-sur-Seine, France",France,"École Normale Supérieure (1987), Mines ParisTech",1966.0,2016.0
77,Timotheus Höttges,90,"September 18, 1962 (age 57 years), Solingen, Germany",Germany,University of Cologne,1962.0,2016.0
78,Masayoshi Son,92,"August 11, 1957 (age 62 years), Tosu, Saga, Japan",Japan,"University of California, Berkeley (1980), MORE",1957.0,2016.0
79,Michael L. Tipsord,93,"June 20, 1959 (age 60 years), Illinois",Illinois,"Illinois Wesleyan University (1981), University of Illinois at Urbana-Champaign",1959.0,2016.0
80,Larry Page,94,"March 26, 1973 (age 47 years), East Lansing, MI",United States,"East Lansing High School (1987–1991), MORE",1973.0,2016.0
81,Zhao Jianguo,95,"January 19, 1988 (age 32 years), Gansu, China",China,,1988.0,2016.0
82,Brian L. Roberts,96,"June 28, 1959 (age 60 years), Philadelphia, PA",United States,"Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy",1959.0,2016.0
83,Brian Cornell,97,"1958 (age 62 years), Queens, New York, NY",United States,"UCLA Anderson School of Management, University of California, Los Angeles",1958.0,2016.0
84,José Antonio González Anaya,98,"June 7, 1967 (age 52 years), Coatzacoalcos, Mexico",Mexico,"Massachusetts Institute of Technology, Stanford University, Harvard University, Asheville School",1967.0,2016.0
85,Olaf Koch,101,,,,,2016.0
86,Alex Gorsky,103,"May 24, 1960 (age 59 years), Kansas City, KS",United States,"Wharton School of the University of Pennsylvania, United States Military Academy",1960.0,2016.0
87,Steven A. Kandarian,104,"West Hartford, CT",United States,"Georgetown University Law Center, MORE",,2016.0
88,Megan Brennan,107,"1961 (age 59 years), Pottsville, PA",United States,"MIT Sloan School of Management, Immaculata University",1961.0,2016.0
89,Frank Appel,108,"July 29, 1961 (age 58 years), Hamburg, Germany",Germany,"ETH Zürich (2001), Ludwig Maximilian University of Munich",1961.0,2016.0
90,Motoya Okada,111,"June 17, 1951 (age 68 years), Yokkaichi, Mie, Japan",Japan,Babson College,1951.0,2016.0
91,Juan Ricardo Luciano,112,"1962 (age 58 years), Argentina",Argentina,Instituto Tecnológico de Buenos Aires,1962.0,2016.0
92,Kaz Hirai,113,"December 22, 1960 (age 59 years), Tokyo, Japan",Japan,"Valley Park Middle School, International Christian University",1960.0,2016.0
93,William J. Randall,116,"July 16, 1909, Independence, MO",United States,"UMKC School of Law, University of Missouri",1909.0,2016.0
94,Ralph Hamers,117,"1966 (age 54 years), Simpelveld, Netherlands",Netherlands,Tilburg University,1966.0,2016.0
95,Igor Sechin,118,"September 7, 1960 (age 59 years), Russian Soviet Federative Socialist Republic",Republic,Saint Petersburg State University,1960.0,2016.0
96,Gary R. Heminger,120,"Tiffin, OH",United States,"University of Dayton (1982), Tiffin University (1976)",,2016.0
97,Lakshmi Mittal,123,"June 15, 1950 (age 69 years), Sadulpur, India",India,,1950.0,2016.0
98,Donald H. Layton,124,1950 (age 70 years),,Massachusetts Institute of Technology,1950.0,2016.0
99,Wan Zulkiflee,125,"1961 (age 59 years), Malaysia",Malaysia,Malay College Kuala Kangsar,1961.0,2016.0
100,Michael A. Wells,126,"April 9, 1960 (age 60 years), Canada",Canada,San Diego State University,1960.0,2016.0
101,Indra Nooyi,127,"October 28, 1955 (age 64 years), Chennai, India",India,"Yale School of Management (1978–1980), MORE",1955.0,2016.0
102,Kazuhiro Tsuga,128,"November 14, 1956 (age 63 years), Osaka, Osaka, Japan",Japan,"University of California, Santa Barbara (1986), Osaka University (1979)",1956.0,2016.0
103,Ren Zhengfei,129,"October 25, 1944 (age 75 years), Zhenning Buyei and Miao Autonomous County, Anshun, China",China,Chongqing University,1944.0,2016.0
104,Vittorio Colao,133,"October 3, 1961 (age 58 years), Brescia, Italy",Italy,"Harvard Business School, Bocconi University, Harvard University",1961.0,2016.0
105,Gregory J. Hayes,136,United States,United States,"Cornell University, Krannert School of Management, Purdue University",,2016.0
106,José María Álvarez-Pallete López (José María Álvarez-Pallete),137,"December 12, 1963 (age 56 years), Madrid, Spain",Spain,"Complutense University of Madrid, IPADE Business School, Université Libre de Bruxelles",1963.0,2016.0
107,Ning Gaoning,139,"November 9, 1958 (age 61 years), Binzhou, China",China,"Joseph M. Katz Graduate School of Business, Shandong University, University of Pittsburgh",1958.0,2016.0
108,Carlos Tavares,140,"August 14, 1958 (age 61 years), Lisbon, Portugal",Portugal,École Centrale Paris (1981),1958.0,2016.0
109,Mario Greco,141,"June 16, 1959 (age 60 years), Naples, Italy",Italy,Sapienza University of Rome,1959.0,2016.0
110,Mark Bertolini,142,"1956 (age 64 years), Detroit, MI",United States,"Wayne State University, Cornell University",1956.0,2016.0
111,Eldar Sætre,145,"February 8, 1956 (age 64 years), Vartdal, Norway",Norway,NHH Norwegian School of Economics,1956.0,2016.0
112,Tevin Vongvanich,146,"August 31, 1958 (age 61 years), Bangkok, Thailand",Thailand,"Chulalongkorn University, Rice University",1958.0,2016.0
113,Paul Polman,147,"July 11, 1956 (age 63 years), Enschede, Netherlands",Netherlands,"University of Cincinnati, University of Groningen",1956.0,2016.0
114,Robert Niblock,148,"1963 (age 57 years), Florida",Florida,UNC Charlotte (1984),1963.0,2016.0
115,David P. Abney,149,"1956 (age 64 years), Greenwood, MS",United States,"Delta State University, Pillow Academy",1956.0,2016.0
116,Peter Hancock,150,"London, United Kingdom",United Kingdom,University of Oxford,,2016.0
117,Takehiko Kakiuchi,151,"July 31, 1955 (age 64 years), Hyogo, Japan",Japan,Hyogo Prefectural Nagata High School,1955.0,2016.0
118,John Strangfeld,152,1954 (age 66 years),,"University of Virginia, Susquehanna University, Darden School of Business - University of Virginia",1954.0,2016.0
119,Daniel Hajj Aboumrad,154,"1966 (age 54 years), Mexico City, Mexico",Mexico,,1966.0,2016.0
120,François Pérol,155,"November 6, 1963 (age 56 years), Le Creusot, France",France,"HEC Paris, École Nationale d'Administration, Sciences Po""",1963.0,2016.0
121,Chang Zhenming,156,"October 1956 (age 63 years), China",China,"Tsinghua University High School, Beijing International Studies University",1956.0,2016.0
122,Brian Krzanich,158,"May 9, 1960 (age 59 years), Santa Clara County, CA",United States,San José State University (1982),1960.0,2016.0
123,Roberto Setubal,159,"October 13, 1954 (age 65 years), São Paulo, State of São Paulo, Brazil",Brazil,"Stanford University (1979), Polytechnic School of the University of São Paulo (1977)",1954.0,2016.0
124,Bruce D. Broussard,162,1963 (age 57 years),,,1963.0,2016.0
125,Zhang Shiping,163,"November 25, 1946, China",China,Anhui University of Finance and Economics,1946.0,2016.0
126,Robert Allen Iger,164,"February 10, 1951 (age 69 years), New York, NY",United States,"Ithaca College (1973), Oceanside High School, Roy H. Park School of Communications, The Center for Early Education",1951.0,2016.0
127,Werner Baumann,165,"October 6, 1962 (age 57 years), Krefeld, Germany",Germany,"University of Cologne, RWTH Aachen University",1962.0,2016.0
128,Severin Schwan,167,"November 17, 1967 (age 52 years), Austria",Austria,"University of York, University of Innsbruck",1967.0,2016.0
129,Andrew Stewart Mackenzie,168,"December 20, 1956 (age 63 years), Scotland, United Kingdom",United Kingdom,"University of Bristol, University of St Andrews",1956.0,2016.0
130,Richard Goyder,171,"1960 (age 60 years), Tambellup, Australia",Australia,,1960.0,2016.0
131,Oh-Joon Kwon,173,"July 6, 1950 (age 69 years)",,"University of Pittsburgh (1981–1985), MORE",1950.0,2016.0
132,Peter Terium,174,,,,,2016.0
133,Carlos Ghosn,178,"March 9, 1954 (age 66 years), Guajará-Mirim, State of Rondônia, Brazil","Brazilian, Lebanese, French","Mines ParisTech (1978), École Polytechnique (1974), MORE",1954.0,2016.0
134,Ryūichi Isaka,179,"October 4, 1957 (age 62 years), Tokyo, Japan",Japan,Aoyama Gakuin,1957.0,2016.0
