id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
1,Doug McMillon,1,"October 17, 1966 (age 53 years), Memphis, TN",United States,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966.0,2017.0
2,Wang Yupu,3,"October 1956 (age 63 years), Xinmin, Liaoning, Shenyang, China",China,Northeast Petroleum University,1956.0,2017.0
3,Wang Yupu,4,"October 1956 (age 63 years), Xinmin, Liaoning, Shenyang, China",China,Northeast Petroleum University,1956.0,2017.0
4,Zhang Jianhua,5,"September 1964 (age 55 years), Shanghai, China",China,East China University of Science and Technology,1964.0,2017.0
5,Akio Toyoda,6,"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan",Japan,"Babson College, Keio University",1956.0,2017.0
6,Ben van Beurden,8,"April 23, 1958 (age 62 years), Netherlands",Netherlands,Delft University of Technology (1981–1983),1958.0,2017.0
7,Warren Buffett,9,"August 30, 1930 (age 89 years), Omaha, NE",United States,"Columbia Business School (1950–1951), MORE",1930.0,2017.0
8,Tim Cook,10,"November 1, 1960 (age 59 years), Mobile, AL",United States,"The Fuqua School of Business (1988), MORE",1960.0,2017.0
9,Darren Woods,11,"Wichita, KS",United States,"Kellogg School of Management, Texas A&M University",,2017.0
10,John H. Hammergren,12,"February 20, 1959 (age 61 years), Saint Paul, MN",United States,"Williams College of Business (1987), MORE",1959.0,2017.0
11,Bob Dudley,13,"September 14, 1955 (age 64 years), Queens, New York, NY",United States,"University of Illinois at Urbana-Champaign, MORE",1955.0,2017.0
12,Stephen J. Hemsley,14,"1952 (age 68 years), United States",United States,"Fordham University, Gabelli School of Business",1952.0,2017.0
13,Larry J. Merlo,15,"1956 (age 64 years), Pittsburgh, PA",United States,University of Pittsburgh School of Pharmacy (1978),1956.0,2017.0
14,Kwon Oh-hyun,16,"October 15, 1952 (age 67 years), South Korea",South Korea,"Seoul National University (1975), Stanford University, KAIST",1952.0,2017.0
15,Ivan Glasenberg,17,"January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957.0,2017.0
16,Dieter Zetsche,18,"May 5, 1953 (age 66 years), İstanbul, Turkey",Turkey,"University of Paderborn, Karlsruhe Institute of Technology",1953.0,2017.0
17,Mary T. Barra,19,"December 24, 1961 (age 58 years), Waterford, MI",United States,"Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",1961.0,2017.0
