,index,ceo,Born,Nationality,Education,BoY
0,0,Doug McMillon,"October 17, 1966 (age 53 years), Memphis, TN",American,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966
1,2,Ben van Beurden,"April 23, 1958 (age 61 years), Netherlands",Dutch,,1958
2,5,Amin H. Nasser,1960 (age 60 years),Saudi,جامعة الملك فهد للبترول والمعادن,1960
3,6,Bob Dudley,"September 14, 1955 (age 64 years), Queens, New York, NY",American,"University of Illinois at Urbana-Champaign, MORE",1955
4,7,Darren Woods,"Wichita, KS",American,"Kellogg School of Management, Texas A&M University",
5,8,Herbert Diess,"October 24, 1958 (age 61 years), Munich, Germany",Germany,"Technische Universität München (1987), MORE",1958
6,9,Akio Toyoda,"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan",Japanese,"Babson College, Keio University",1956
7,10,Tim Cook,"November 1, 1960 (age 59 years), Mobile, AL",American,"The Fuqua School of Business (1988), MORE",1960
8,11,Warren Buffett,"August 30, 1930 (age 89 years), Omaha, NE",American,"Columbia Business School (1950–1951), MORE",1930
9,12,Jeff Bezos,"January 12, 1964 (age 56 years), Albuquerque, NM",American,"Princeton University (1986), River Oaks Elementary School, Miami Palmetto Senior High School, University of Florida",1964
10,15,Ivan Glasenberg,"January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957
11,17,Ola Källenius,"June 11, 1969 (age 50 years), Västervik, Sweden",Sweden,"University of St. Gallen, Stockholm School of Economics, Danderyds gymnasium",1969
12,18,Larry J. Merlo,"1956 (age 64 years), Pittsburgh, PA",American,University of Pittsburgh School of Pharmacy (1978),1956
13,19,Patrick Pouyanné,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963
14,21,Jeremy Weir,"1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964
15,22,Terry Gou,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwanese,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950
16,23,John Elkann,"April 1, 1976 (age 43 years), New York, NY",American,Polytechnic University of Turin,1976
17,24,Randall L. Stephenson,"April 22, 1960 (age 59 years), Oklahoma City, OK",American,"The University of Oklahoma, University of Central Oklahoma",1960
18,26,Steven H. Collis,"1961 (age 59 years), South Africa",Africa,"University of the Witwatersrand, Johannesburg",1961
19,27,Mike Wirth,1960 (age 60 years),,University of Colorado Boulder,1960
20,28,Ma Mingzhe,"December 1955 (age 64 years), China",China,Zhongnan University of Economics and Law,1955
21,29,Jim Hackett,"April 22, 1955 (age 64 years), Columbus, OH",American,University of Michigan (1977),1955
22,31,Mary T. Barra,"December 24, 1961 (age 58 years), Waterford, MI",American,"Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",1961
23,33,Takahiro Hachigo,"May 19, 1959 (age 60 years), Japan",Japan,Tokyo City University,1959
24,34,W. Craig Jelinek,"August 8, 1952 (age 67 years), California",American,San Diego State University (1975),1952
25,36,Sundar Pichai,"June 10, 1972 (age 47 years), Madurai, India","American, Indian","Wharton School of the University of Pennsylvania, MORE",1972
26,38,Chen Zhixin,,,,
27,39,Stefano Pessina,"June 4, 1941 (age 78 years), Pescara, Italy",Italy,"University of Milan, Politecnico di Milano",1941
28,40,Jamie Dimon,"March 13, 1956 (age 64 years), New York, NY",American,"Harvard Business School (1982), Tufts University, Browning School",1956
29,44,Oliver Bäte,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany",Germany,"University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",1965
30,45,Thomas Buberl,"March 24, 1973 (age 46 years), Cologne, Germany",Germany,"WHU - Otto Beisheim School of Management, Lancaster University, University of St. Gallen",1973
31,46,Rodney McMullen,"1961 (age 59 years), Pineville, KY",American,University of Kentucky,1961
32,47,H. Lawrence Culp Jr.,"1964 (age 56 years), Washington, D.C.",American,"Washington College, Harvard Business School",1964
33,50,Wang Bin MD,,,,
34,51,Masatsugu Nagato,"November 18, 1948 (age 71 years), Otaru, Hokkaido, Japan",Japan,Hitotsubashi University,1948
35,52,Harald Krüger,"October 13, 1965 (age 54 years), Freiburg im Breisgau, Germany",Germany,"RWTH Aachen University (1991), MORE",1965
36,56,Joseph W. Gorder,May 1957 (age 62 years),,"University of Missouri-St. Louis, Our Lady of the Lake School of Business",1957
37,57,Brian Moynihan,"October 9, 1959 (age 60 years), Marietta, OH",American,"Notre Dame Law School (1984), Brown University (1981), University of Notre Dame",1959
38,59,Satya Nadella,"August 19, 1967 (age 52 years), Hyderabad, India",India,"University of Wisconsin-Milwaukee (1990), MORE', ""Books: Hit Refresh: The Quest to Rediscover Microsoft's Soul and Imagine a Better Future for Everyone"", 'Children: Zain Nadella, Tara Nadella, Divya Nadella",1967
39,60,Ren Zhengfei,"October 25, 1944 (age 75 years), Zhenning Buyei and Miao Autonomous County, Anshun, China",Chinese,Chongqing University,1944
40,61,Craig Menear,"1958 (age 62 years), Flint, MI",American,"Central High School, Michigan State University",1958
41,63,Jun Sawada,"July 30, 1955 (age 64 years)",,,1955
42,65,Hiroto Saikawa,,,,
43,66,Zheng Zhijie,May 1958 (age 61 years),,Dongbei University of Finance and Economics,1958
44,67,Dave Calhoun,"April 18, 1957 (age 62 years), Philadelphia, PA",American,"Orefield Middle School, Pamplin College of Business, Virginia Polytechnic Institute and State University', ""Albums: Salmon Chanted Harbor, Day Drinkin', Momentary Mutiny"", 'Children: Corey Calhoun, Amy Calhoun, Devon Calhoun, Jessica Calhoun",1957
45,68,Charles W. Scharf,1965 (age 55 years),American,"New York University, Johns Hopkins University",1965
46,69,Joe Kaeser,"June 23, 1957 (age 62 years), Arnbruck, Germany",Germany,Ostbayerische Technische Hochschule (OTH) Regensburg,1957
47,70,Michael Corbat,"May 2, 1960 (age 59 years), Bristol, CT",American,Harvard University (1983),1960
48,71,Gary R. Heminger,"Tiffin, OH",American,"University of Dayton (1982), Tiffin University (1976)",
49,74,Brian L. Roberts,"June 28, 1959 (age 60 years), Philadelphia, PA",American,"Wharton School of the University of Pennsylvania, University of Pennsylvania, Germantown Academy",1959
50,75,Ulf Mark Schneider,"September 9, 1965 (age 54 years), Neuwied, Germany",German,"Harvard Business School, University of St. Gallen",1965
51,76,Volkmar Denner,"November 30, 1956 (age 63 years), Uhingen, Germany",Germany,"University of Stuttgart (1985), University of Stuttgart (1981)",1956
52,78,Gail Koziara Boudreaux,1960 (age 60 years),,"Chicopee Comprehensv High Sch, Columbia University, Columbia Business School, Dartmouth College",1960
53,80,Alexandre Bompard,"October 4, 1972 (age 47 years), Saint-Étienne, France",France,"École Nationale d'Administration (1997–1999), Sciences Po""",1972
54,82,Claudio Descalzi,"1955 (age 65 years), Milan, Italy",Italy,University of Milan,1955
55,83,Michael S. Dell,"February 23, 1965 (age 55 years), Houston, TX",American,"Memorial Senior High School, The University of Texas at Austin, Herod Elementary School",1965
