,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company,year
1,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, AR",http://www.walmart.com,23,"2,300,000",Walmart,2017
2,Kou Wei,Energy,Utilities,"Beijing, China",http://www.sgcc.com.cn,17,"926,067",State Grid,2017
3,Wang Yupu,Energy,Petroleum Refining,"Beijing, China",http://www.sinopec.com,19,"713,288",Sinopec Group,2017
4,Wang Yupu,Energy,Petroleum Refining,"Beijing, China",http://www.sinopec.com,19,"713,288",Sinopec Group,2017
5,Zhang Jianhua,Energy,Petroleum Refining,"Beijing, China",http://www.cnpc.com.cn,17,"1,512,048",China National Petroleum,2017
6,Akio Toyoda,Motor Vehicles & Parts,Motor Vehicles and Parts,"Toyota, Japan",http://www.toyota-global.com,23,"364,445",Toyota Motor,2017
7,Matthias Muller,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wolfsburg, Germany",http://www.volkswagen.com,23,"626,715",Volkswagen,2017
8,Ben van Beurden,Energy,Petroleum Refining,"The Hague, Netherlands",http://www.shell.com,23,"89,000",Royal Dutch Shell,2017
9,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",http://www.berkshirehathaway.com,21,"367,700",Berkshire Hathaway,2017
10,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, CA",http://www.apple.com,15,"116,000",Apple,2017
11,Darren W. Woods,Energy,Petroleum Refining,"Irving, TX",http://www.exxonmobil.com,23,"72,700",Exxon Mobil,2017
12,John H. Hammergren,Wholesalers,Wholesalers: Health Care,"San Francisco, CA",http://www.mckesson.com,23,"64,500",McKesson,2017
13,Robert W. Dudley,Energy,Petroleum Refining,"London, Britain",http://www.bp.com,23,"74,500",BP,2017
14,Stephen J. Hemsley,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",http://www.unitedhealthgroup.com,21,"230,000",UnitedHealth Group,2017
15,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",http://www.cvshealth.com,22,"204,000",CVS Health,2017
16,Oh-Hyun Kwon,Technology,"Electronics, Electrical Equip.","Suwon, South Korea",http://www.samsung.com,23,"325,000",Samsung Electronics,2017
17,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland",http://www.glencore.com,7,"93,123",Glencore,2017
18,Dieter Zetsche,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",http://www.daimler.com,23,"282,488",Daimler,2017
19,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",http://www.gm.com,23,"225,000",General Motors,2017
20,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",http://www.att.com,23,"268,540",AT&T,2017
21,John Elkann,Financials,Diversified Financials,"Amsterdam, Netherlands",http://www.exor.com,7,"302,562",EXOR Group,2017
22,James P. Hackett,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",http://www.ford.com,23,"201,000",Ford Motor,2017
23,Gu Shu,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.icbc-ltd.com,19,"461,749",Industrial & Commercial Bank of China,2017
24,Steven H. Collis,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",http://www.amerisourcebergen.com,18,"18,500",AmerisourceBergen,2017
25,Guan Qing,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.cscec.com,6,"263,915",China State Construction Engineering,2017
26,Thomas Buberl,Financials,"Insurance: Life, Health (stock)","Paris, France",http://www.axa.com,23,"97,707",AXA,2017
27,Jeffrey P. Bezos,Technology,Internet Services and Retailing,"Seattle, WA",http://www.amazon.com,9,"341,400",Amazon.com,2017
28,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan",http://www.foxconn.com,13,"726,772",Hon Hai Precision Industry,2017
29,Wang Hongzhang,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.ccb.com,18,"362,482",China Construction Bank,2017
30,Takahiro Hachigo,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan",http://www.honda.com,23,"211,915",Honda Motor,2017
31,Patrick Pouyanne,Energy,Petroleum Refining,"Courbevoie, France",http://www.total.com,23,"102,168",Total,2017
32,Jeffrey R. Immelt,Industrials,Industrial Machinery,"Boston, MA",http://www.ge.com,23,"295,000",General Electric,2017
33,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY",http://www.verizon.com,23,"160,900",Verizon,2017
34,Masatsugu Nagato,Financials,"Insurance: Life, Health (stock)","Tokyo, Japan",http://www.japanpost.jp,21,"248,384",Japan Post Holdings,2017
35,Oliver Bate,Financials,Insurance: Property and Casualty (Stock),"Munich, Germany",http://www.allianz.com,23,"140,253",Allianz,2017
36,George S. Barrett,Wholesalers,Wholesalers: Health Care,"Dublin, OH",http://www.cardinalhealth.com,20,"37,300",Cardinal Health,2017
37,W. Craig Jelinek,Retailing,General Merchandisers,"Issaquah, WA",http://www.costco.com,23,"172,000",Costco,2017
38,Stefano Pessina,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL",http://www.walgreensbootsalliance.com,23,"300,000",Walgreens Boots Alliance,2017
39,Zhao Huan,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.abchina.com,18,"501,368",Agricultural Bank of China,2017
40,Ma Mingzhe,Financials,"Insurance: Life, Health (stock)","Shenzhen, China",http://www.pingan.com,8,"318,588",Ping An Insurance,2017
41,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",http://www.thekrogerco.com,23,"443,000",Kroger,2017
42,Chen Zhixin,Motor Vehicles & Parts,Motor Vehicles and Parts,"Shanghai, China",http://www.saicmotor.com,6,"97,582",SAIC Motor,2017
43,Chen Siqing,Financials,Banks: Commercial and Savings,"Beijing, China",http://www.boc.cn,23,"308,900",Bank of China,2017
44,Jean-Laurent Bonnafe,Financials,Banks: Commercial and Savings,"Paris, France",http://www.bnpparibas.com,23,"184,839",BNP Paribas,2017
45,Hiroto Saikawa,Motor Vehicles & Parts,Motor Vehicles and Parts,"Yokohama, Japan",http://www.nissan-global.com,23,"137,250",Nissan Motor,2017
46,John S. Watson,Energy,Petroleum Refining,"San Ramon, CA",http://www.chevron.com,23,"55,200",Chevron,2017
47,Timothy J. Mayopoulos,Financials,Diversified Financials,"Washington, DC",http://www.fanniemae.com,20,"7,000",Fannie Mae,2017
48,Li Yue,Telecommunications,Telecommunications,"Beijing, China",http://www.10086.cn,17,"463,712",China Mobile Communications,2017
49,James Dimon,Financials,Banks: Commercial and Savings,"New York, NY",http://www.jpmorganchase.com,23,"243,355",J.P. Morgan Chase,2017
50,Nigel Wilson,Financials,"Insurance: Life, Health (stock)","London, Britain",http://www.legalandgeneralgroup.com,17,"8,939",Legal & General Group,2017
51,Hiroo Unoura,Telecommunications,Telecommunications,"Tokyo, Japan",http://www.ntt.co.jp,23,"274,844",Nippon Telegraph & Telephone,2017
52,Yang Mingsheng,Financials,"Insurance: Life, Health (stock)","Beijing, China",http://www.chinalife.com.cn,15,"143,676",China Life Insurance,2017
53,Harald Kruger,Motor Vehicles & Parts,Motor Vehicles and Parts,"Munich, Germany",http://www.bmwgroup.com,23,"124,729",BMW Group,2017
54,Timothy C. Wentworth,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",http://www.express-scripts.com,15,"25,600",Express Scripts Holding,2017
55,Jeremy Weir,Wholesalers,Trading,Singapore,http://www.trafigura.com,3,"4,107",Trafigura Group,2017
56,Zhang Zongyan,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.crecg.com,3,"292,215",China Railway Engineering,2017
57,Michael A. Wells,Financials,"Insurance: Life, Health (stock)","London, Britain",http://www.prudential.co.uk,22,"23,673",Prudential,2017
58,Philippe R. Donnet,Financials,"Insurance: Life, Health (stock)","Trieste, Italy",http://www.generali.com,23,"73,727",Assicurazioni Generali,2017
59,Meng Fengchao,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.crcc.cn,6,"336,872",China Railway Construction,2017
60,Craig A. Menear,Retailing,Specialty Retailers,"Atlanta, GA",http://www.homedepot.com,23,"406,000",Home Depot,2017
61,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",http://www.boeing.com,23,"150,540",Boeing,2017
62,Timothy J. Sloan,Financials,Banks: Commercial and Savings,"San Francisco, CA",http://www.wellsfargo.com,20,"269,100",Wells Fargo,2017
