,CEO,Sector,Industry,HQ Location,Website,Years on Global 500 List,Employees,company
1,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, Ark.",https://www.walmart.com,25,"2,200,000",Walmart
2,Dai Houliang,Energy,Petroleum Refining,Beijing,https://www.sinopec.com,21,"619,151",Sinopec Group
3,Ben van Beurden,Energy,Petroleum Refining,The Hague,https://www.shell.com,25,"81,000",Royal Dutch Shell
4,Zhang Wei,Energy,Petroleum Refining,Beijing,https://www.cnpc.com.cn,19,"1,382,401",China National Petroleum
5,Xin Baoan,Energy,Utilities,Beijing,https://www.sgcc.com.cn,19,"917,717",State Grid
6,Amin H. Nasser,Energy,"Mining, Crude-Oil Production","Dhahran, Saudi Arabia",https://www.saudiaramco.com,1,"76,418",Saudi Aramco
7,Robert W. Dudley,Energy,Petroleum Refining,London,https://www.bp.com,25,"73,000",BP
8,Darren W. Woods,Energy,Petroleum Refining,"Irving, Texas",https://www.exxonmobil.com,25,"71,000",Exxon Mobil
9,Herbert Diess,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wolfsburg, Germany",https://www.volkswagenag.com,25,"664,496",Volkswagen
10,Akio Toyoda,Motor Vehicles & Parts,Motor Vehicles and Parts,"Toyota, Japan",https://www.toyota-global.com,25,"370,870",Toyota Motor
11,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, Calif.",https://www.apple.com,17,"132,000",Apple
12,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),Omaha,https://www.berkshirehathaway.com,23,"389,000",Berkshire Hathaway
13,Jeffrey P. Bezos,Retailing,Internet Services and Retailing,Seattle,https://www.amazon.com,11,"647,500",Amazon.com
14,David S. Wichmann,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, Minn.",https://www.unitedhealthgroup.com,23,"300,000",UnitedHealth Group
15,Hyun-Suk Kim /Ki-Nam Kim,Technology,"Electronics, Electrical Equip.","Suwon, South Korea",https://www.samsung.com,25,"309,630",Samsung Electronics
16,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland",https://www.glencore.com,9,"85,504",Glencore
17,Brian S. Tyler,Health Care,Wholesalers: Health Care,"Irving, Texas",https://www.mckesson.com,25,"70,000",McKesson
18,Ola Källenius,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany",https://www.daimler.com,25,"298,683",Daimler
19,Larry J. Merlo,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, R.I.",https://www.cvshealth.com,24,"295,000",CVS Health
20,Patrick Pouyanné,Energy,Petroleum Refining,"Courbevoie, France",https://www.total.com,25,"104,460",Total
21,Guan Qing,Engineering & Construction,"Engineering, Construction",Beijing,https://www.cscec.com,8,"302,827",China State Construction Engineering
22,Jeremy Weir,Wholesalers,Trading,Singapore,https://www.trafigura.com,5,"4,316",Trafigura Group
23,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan",https://www.foxconn.com,15,"667,680",Hon Hai Precision Industry
24,John Elkann,Financials,Diversified Financials,Amsterdam,https://www.exor.com,9,"314,790",EXOR Group
25,Randall L. Stephenson,Telecommunications,Telecommunications,Dallas,https://www.att.com,25,"268,220",AT&T
26,Gu Shu,Financials,Banks: Commercial and Savings,Beijing,https://www.icbc-ltd.com,21,"449,296",Industrial & Commercial Bank of China
27,Steven H. Collis,Health Care,Wholesalers: Health Care,"Chesterbrook, Pa.",https://www.amerisourcebergen.com,20,"20,500",AmerisourceBergen
28,Michael K. Wirth,Energy,Petroleum Refining,"San Ramon, Calif.",https://www.chevron.com,25,"48,600",Chevron
29,Ma Mingzhe,Financials,"Insurance: Life, Health (stock)","Shenzhen, China",https://www.pingan.com,10,"376,900",Ping An Insurance
30,James P. Hackett,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, Mich.",https://www.corporate.ford.com,25,"199,000",Ford Motor
31,Tian Guoli,Financials,Banks: Commercial and Savings,Beijing,https://www.ccb.com,20,"366,996",China Construction Bank
32,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,Detroit,https://www.gm.com,25,"173,000",General Motors
33,Takehiko Kakiuchi,Wholesalers,Trading,Tokyo,https://www.mitsubishicorp.com,25,"79,994",Mitsubishi
34,Takahiro Hachigo,Motor Vehicles & Parts,Motor Vehicles and Parts,Tokyo,https://www.honda.com,25,"219,722",Honda Motor
35,W. Craig Jelinek,Retailing,General Merchandisers,"Issaquah, Wash.",https://www.costco.com,25,"194,000",Costco Wholesale
36,Zhou Mubing,Financials,Banks: Commercial and Savings,Beijing,https://www.abchina.com,20,"477,526",Agricultural Bank of China
37,Sundar Pichai,Technology,Internet Services and Retailing,"Mountain View, Calif.",https://www.abc.xyz,11,"98,771",Alphabet
38,Michael C. Kaufmann,Health Care,Wholesalers: Health Care,"Dublin, Ohio",https://www.cardinalhealth.com,22,"50,200",Cardinal Health
39,Chen Zhixin,Motor Vehicles & Parts,Motor Vehicles and Parts,Shanghai,https://www.saicmotor.com,8,"147,738",SAIC Motor
40,Stefano Pessina,Food & Drug Stores,Food and Drug Stores,"Deerfield, Ill.",https://www.walgreensbootsalliance.com,25,"299,000",Walgreens Boots Alliance
41,James Dimon,Financials,Banks: Commercial and Savings,New York City,https://www.jpmorganchase.com,25,"256,105",JPMorgan Chase & Co.
42,Alexey B. Miller,Energy,Energy,Moscow,https://www.gazprom.com,23,"466,100",Gazprom
43,Hans E. Vestberg,Telecommunications,Telecommunications,New York City,https://www.verizon.com,25,"144,500",Verizon Communications
44,Liu Liange,Financials,Banks: Commercial and Savings,Beijing,https://www.boc.cn,25,"310,119",Bank of China
