,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
1,"$514,405.00 ","$6,670.00 ","$219,295.00 ","$72,496.00 ",1.30%,3%,9.20%,Walmart,2019
2,"$414,649.90 ","$5,845.00 ","$329,186.30 ","$105,181.50 ",1.40%,1.80%,5.60%,Sinopec Group,2019
3,"$396,556.00 ","$23,352.00 ","$399,194.00 ","$198,646.00 ",5.90%,5.80%,11.80%,Royal Dutch Shell,2019
4,"$392,976.60 ","$2,270.50 ","$601,899.90 ","$291,198.60 ",0.60%,0.40%,0.80%,China National Petroleum,2019
5,"$387,056.00 ","$8,174.80 ","$572,309.50 ","$240,041.50 ",2.10%,1.40%,3.40%,State Grid,2019
6,"$355,905.00 ","$110,974.50 ","$358,872.90 ","$271,062.40 ",31.20%,30.90%,40.90%,Saudi Aramco,2019
7,"$303,738.00 ","$9,383.00 ","$282,176.00 ","$99,444.00 ",3.10%,3.30%,9.40%,BP,2019
8,"$290,212.00 ","$20,840.00 ","$346,196.00 ","$191,794.00 ",7.20%,6%,10.90%,Exxon Mobil,2019
9,"$278,341.50 ","$14,322.50 ","$523,672.30 ","$133,864.70 ",5.10%,2.70%,10.70%,Volkswagen,2019
10,"$272,612.00 ","$16,982.00 ","$469,295.60 ","$174,827.40 ",6.20%,3.60%,9.70%,Toyota Motor,2019
11,"$265,595.00 ","$59,531.00 ","$365,725.00 ","$107,147.00 ",22.40%,16.30%,55.60%,Apple,2019
12,"$247,837.00 ","$4,021.00 ","$707,794.00 ","$348,703.00 ",1.60%,0.60%,1.20%,Berkshire Hathaway,2019
13,"$232,887.00 ","$10,073.00 ","$162,648.00 ","$43,549.00 ",4.30%,6.20%,23.10%,Amazon.com,2019
14,"$226,247.00 ","$11,986.00 ","$152,221.00 ","$51,696.00 ",5.30%,7.90%,23.20%,UnitedHealth Group,2019
15,"$221,579.40 ","$39,895.20 ","$304,165.30 ","$215,173.40 ",18%,13.10%,18.50%,Samsung Electronics,2019
16,"$219,754.00 ","$3,408.00 ","$128,672.00 ","$45,738.00 ",1.60%,2.60%,7.50%,Glencore,2019
17,"$214,319.00 ",$34 ,"$59,672.00 ","$8,094.00 ",-,0.10%,0.40%,McKesson,2019
18,"$197,515.30 ","$8,555.00 ","$321,890.50 ","$73,914.40 ",4.30%,2.70%,11.60%,Daimler,2019
19,"$194,579.00 ",($594),"$196,456.00 ","$58,225.00 ",-0.30%,-0.30%,-1%,CVS Health,2019
20,"$184,106.00 ","$11,446.00 ","$256,762.00 ","$115,640.00 ",6.20%,4.50%,9.90%,Total,2019
21,"$181,524.50 ","$3,159.50 ","$272,768.80 ","$18,747.30 ",1.70%,1.20%,16.90%,China State Construction Engineering,2019
22,"$180,744.10 ",$849.20 ,"$53,801.00 ","$5,921.40 ",0.50%,1.60%,14.30%,Trafigura Group,2019
23,"$175,617.00 ","$4,281.60 ","$110,012.90 ","$39,428.60 ",2.40%,3.90%,10.90%,Hon Hai Precision Industry,2019
24,"$175,009.50 ","$1,589.70 ","$190,052.30 ","$13,956.00 ",0.90%,0.80%,11.40%,EXOR Group,2019
25,"$170,756.00 ","$19,370.00 ","$531,864.00 ","$184,089.00 ",11.30%,3.60%,10.50%,AT&T,2019
26,"$168,979.00 ","$45,002.30 ","$4,034,481.60 ","$339,368.30 ",26.60%,1.10%,13.30%,Industrial & Commercial Bank of China,2019
27,"$167,939.60 ","$1,658.40 ","$37,669.80 ","$2,932.80 ",1%,4.40%,56.50%,AmerisourceBergen,2019
28,"$166,339.00 ","$14,824.00 ","$253,863.00 ","$154,554.00 ",8.90%,5.80%,9.60%,Chevron,2019
29,"$163,597.40 ","$16,237.20 ","$1,040,383.40 ","$81,056.30 ",9.90%,1.60%,20%,Ping An Insurance,2019
30,"$160,338.00 ","$3,677.00 ","$256,540.00 ","$35,932.00 ",2.30%,1.40%,10.20%,Ford Motor,2019
31,"$151,110.80 ","$38,498.40 ","$3,382,421.70 ","$287,874.90 ",25.50%,1.10%,13.40%,China Construction Bank,2019
32,"$147,049.00 ","$8,014.00 ","$227,339.00 ","$38,860.00 ",5.40%,3.50%,20.60%,General Motors,2019
33,"$145,243.30 ","$5,328.00 ","$149,388.30 ","$51,470.60 ",3.70%,3.60%,10.40%,Mitsubishi,2019
34,"$143,302.90 ","$5,504.60 ","$184,504.60 ","$74,706.10 ",3.80%,3%,7.40%,Honda Motor,2019
35,"$141,576.00 ","$3,134.00 ","$40,830.00 ","$12,799.00 ",2.20%,7.70%,24.50%,Costco Wholesale,2019
36,"$139,523.60 ","$30,656.50 ","$3,293,105.00 ","$243,280.90 ",22%,0.90%,12.60%,Agricultural Bank of China,2019
37,"$136,819.00 ","$30,736.00 ","$232,792.00 ","$177,628.00 ",22.50%,13.20%,17.30%,Alphabet,2019
38,"$136,809.00 ",$256 ,"$39,951.00 ","$6,059.00 ",0.20%,0.60%,4.20%,Cardinal Health,2019
39,"$136,392.50 ","$5,443.80 ","$114,011.70 ","$34,136.10 ",4%,4.80%,15.90%,SAIC Motor,2019
40,"$131,537.00 ","$5,024.00 ","$68,124.00 ","$26,007.00 ",3.80%,7.40%,19.30%,Walgreens Boots Alliance,2019
41,"$131,412.00 ","$32,474.00 ","$2,622,532.00 ","$256,515.00 ",24.70%,1.20%,12.70%,JPMorgan Chase & Co.,2019
42,"$131,302.00 ","$23,199.10 ","$300,354.80 ","$191,957.50 ",17.70%,7.70%,12.10%,Gazprom,2019
43,"$130,863.00 ","$15,528.00 ","$264,829.00 ","$53,145.00 ",11.90%,5.90%,29.20%,Verizon Communications,2019
