,rank,company,revenue % change,profits($M),profits % change,assets($M),employees,year
0,1,Walmart,2.0%,"16,363",2.1%,"203,706","2,200,000",2015
1,2,Sinopec Group,-2.3%,"5,177",-42.0%,"359,182.2","897,488",2015
2,3,Royal Dutch Shell,-6.1%,"14,874",-9.1%,"353,116","94,000",2015
3,4,China National Petroleum,-0.8%,"16,359.5",-11.6%,"634,811.5","1,636,532",2015
4,5,Exxon Mobil,-6.1%,"32,520",-0.2%,"349,493","83,700",2015
5,6,BP,-9.5%,"3,780",-83.9%,"284,305","84,500",2015
6,7,State Grid,1.8%,"9,796.2",22.7%,"466,298.1","921,964",2015
7,8,Volkswagen,2.7%,"14,571.9",20.7%,"424,935.3","592,586",2015
8,9,Toyota Motor,-3.4%,"19,766.9",8.6%,"398,047.1","344,109",2015
9,10,Glencore,-5.0%,"2,308",-,"152,205","106,831",2015
10,11,Total,-7.0%,"4,244",-62.1%,"229,798","100,307",2015
11,12,Chevron,-7.5%,"19,241",-10.2%,"266,026","64,700",2015
12,13,Samsung Electronics,-6.3%,"21,922.7",-19.5%,"209,666","307,000",2015
13,14,Berkshire Hathaway,6.9%,"19,872",2.0%,"526,186","316,000",2015
14,15,Apple,7.0%,"39,510",6.7%,"231,839","97,200",2015
15,16,McKesson,31.3%,"1,476",16.9%,"53,870","70,400",2015
16,,Daimler,10.0%,"9,235.3",1.7%,"229,443.4","279,972",2015
17,18,Industrial & Commer. Bank of China,9.7%,"44,763.9",4.8%,"3,322,042.7","462,282",2015
18,19,EXOR Group,7.4%,428.5,-84.5%,"182,104.1","318,562",2015
19,20,AXA,-2.8%,"6,664.5",12.0%,"1,016,417.4","96,279",2015
20,21,General Motors,0.3%,"3,949",-26.1%,"177,677","216,000",2015
21,22,E.ON,-6.8%,"-4,191.8",-247.4%,"152,075","58,503",2015
22,23,Phillips 66,-7.3%,"4,762",27.8%,"48,741","14,000",2015
23,24,General Electric,1.4%,"15,233",16.7%,"648,349","305,000",2015
24,25,ENI,-4.5%,"1,712.6",-75.0%,"176,899","84,405",2015
25,26,Gazprom,-12.5%,"4,124.4",-88.5%,"253,591.8","459,600",2015
26,27,Ford Motor,-1.9%,"3,187",-55.5%,"208,527","187,000",2015
27,28,Petrobras,1.6%,"-7,367",-166.4%,"298,687","80,908",2015
28,29,China Construction Bank,11.6%,"36,976.6",5.9%,"2,698,924.9","372,321",2015
29,30,CVS Health,9.9%,"4,644",1.1%,"74,252","177,800",2015
30,31,Hon Hai Precision Industry,4.4%,"4,307.8",19.8%,"77,934","1,060,000",2015
31,32,Allianz,1.6%,"8,252.3",3.7%,"974,938.9","147,425",2015
32,33,AT&T,2.9%,"6,224",-65.9%,"292,829","243,620",2015
33,34,Valero Energy,-5.0%,"3,630",33.5%,"45,550","10,065",2015
34,35,UnitedHealth Group,6.5%,"5,619",-0.1%,"86,382","170,000",2015
35,36,Agricultural Bank of China,12.7%,"29,126.4",7.7%,"2,574,815","505,627",2015
36,37,China State Construction Engineering,17.2%,"2,079.1",12.2%,"148,914.8","247,672",2015
37,38,Japan Post Holdings,-14.8%,"4,390.1",-8.2%,"2,467,265.4","221,000",2015
38,39,PDVSA,-4.4%,"7,386",-48.2%,"226,760","152,072",2015
39,40,Trafigura Beheer,-4.1%,"1,039.7",-48.8%,"39,574.8","5,326",2015
40,41,Verizon,5.4%,"9,625",-16.3%,"232,708","177,300",2015
41,42,BNP Paribas,2.0%,208.3,-96.8%,"2,513,925","179,603",2015
42,43,Lukoil,3.1%,"4,746",-39.4%,"111,800","110,300",2015
43,44,Honda Motor,-2.9%,"4,633.4",-25.7%,"153,663.9","204,730",2015
44,45,Bank of China,14.5%,"27,525.1",7.9%,"2,458,314.3","308,128",2015
45,46,AmerisourceBergen,34.1%,276.5,-36.3%,"21,532.2","13,500",2015
46,47,Pemex,-5.3%,"-19,929.4",-,"144,414.6","144,927",2015
47,48,Assicurazioni Generali,3.2%,"2,215.3",-12.9%,"606,555.4","78,333",2015
48,49,Societe Generale,-10.9%,"3,571",23.7%,"1,582,782.8","153,836",2015
49,50,Fannie Mae,-7.3%,"14,208",-83.1%,"3,248,176","7,600",2015
50,51,Rosneft Oil,-2.9%,"9,026.7",-47.2%,"145,964.9","249,000",2015
51,52,Costco,7.1%,"2,058",0.9%,"33,024","153,500",2015
52,53,HP,-0.8%,"5,013",-2.0%,"103,206","302,000",2015
53,54,Kroger,10.3%,"1,728",13.8%,"30,556","400,000",2015
54,55,China Mobile Communications,-0.1%,"10,451.2",13.6%,"246,748.8","274,347",2015
55,56,BMW,5.6%,"7,691.2",9.0%,"187,299.5","116,324",2015
56,57,SK Holdings,4.0%,-506.6,-296.2%,"84,620.3","81,667",2015
57,58,Credit Agricole,13.4%,"3,104.1",-6.7%,"1,922,657","72,567",2015
58,59,Nissan Motor,-1.1%,"4,161.7",7.2%,"142,153.8","149,388",2015
59,60,SAIC Motor,11.1%,"4,540.1",12.5%,"66,871.5","92,484",2015
60,61,JP Morgan Chase,-3.9%,"21,762",21.4%,"2,573,126","241,359",2015
61,62,Tesco,-1.6%,"-9,321.1",-707.3%,"68,315.8","386,086",2015
62,63,Siemens,-4.3%,"7,288.3",29.7%,"132,473.2","357,000",2015
63,64,Carrefour,-0.5%,"1,656.8",-1.2%,"55,401.1","381,227",2015
64,65,Nippon Tel. & Tel.,-7.5%,"4,711.9",-19.4%,"172,649.7","241,600",2015
65,66,Express Scripts Holding,-3.6%,"2,007.6",8.8%,"53,798.9","29,500",2015
66,67,Banco Santander,2.2%,"7,715.1",33.0%,"1,532,118.6","185,405",2015
67,68,Petronas,-0.1%,"11,322.3",-34.1%,"153,787.4","50,949",2015
68,69,Enel,-6.0%,685.8,-84.0%,"201,614","68,961",2015
69,70,Nestlé,0.7%,"15,797.8",46.2%,"134,336.6","339,000",2015
70,71,China Railway Engineering,9.1%,959.9,9.2%,"110,473","276,697",2015
71,72,China National Offshore Oil,3.4%,"8,592.6",11.6%,"180,427.8","114,573",2015
72,73,GDF Suez,-16.4%,"3,236.7",-,"200,006","152,882",2015
73,74,Prudential plc,20.9%,"3,647.9",73.4%,"575,622.1","18,604",2015
