,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
0,1,Walmart,"$500,343",3%,"$9,862.00","$204,522.00",-27.7%,"2,300,000",-,2018
1,2,State Grid,"$348,903",10.7%,"$9,533.40","$585,278",-0.4%,"913,546",-,2018
2,3,Sinopec Group,"$326,953",22.2%,"$1,537.80","$346,544.50",22.2%,"667,793",-,2018
3,4,China National Petroleum,"$326,008",24.2%,$-690.5,"$629,410.50",-137%,"1,470,193",-,2018
4,5,Royal Dutch Shell,"$311,870",29.9%,"$12,977.00","$407,097.00",183.7%,"84,000",2,2018
5,6,Toyota Motor,"$265,172",4.1%,"$22,510.10","$473,133.20",33.2%,"369,124",-1,2018
6,7,Volkswagen,"$260,028",8.2%,"$13,107.30","$506,956.10",120.8%,"642,292",-1,2018
7,8,BP,"$244,582",31.1%,"$3,389.00","$276,515.00",2847.00%,"74,000",4,2018
8,9,Exxon Mobil,"$244,363",17.4%,"$19,710.00","$348,691.00",151.4%,"71,200",1,2018
9,10,Berkshire Hathaway,"$242,137",8.3%,"$44,940.00","$702,095.00",86.7%,"377,000",-2,2018
10,11,Apple,"$229,234",6.3%,"$48,351.00","$375,319.00",5.8%,"123,000",-2,2018
11,12,Samsung Electronics,"$211,940",21.8%,"$36,575.40","$281,905.90",89.3%,"320,671",3,2018
12,13,McKesson,"$208,357",4.9%,$67,"$60,381.00",-98.7%,"68,000",-2,2018
13,14,Glencore,"$205,476",18.2%,"$5,777.00","$135,593.00",318.9%,"82,681",2,2018
14,15,UnitedHealth Group,"$201,159",8.8%,"$10,558.00","$139,058.00",50.5%,"260,000",-2,2018
15,16,Daimler,"$185,235",9.3%,"$11,863.90","$306,922.40",25.8%,"289,321",1,2018
16,17,CVS Health,"$184,765",4.1%,"$6,622.00","$95,131.00",24.5%,"203,000",-3,2018
17,18,Amazon.com,"$177,866",30.8%,"$3,033.00","$131,310.00",27.9%,"566,000",8,2018
18,19,EXOR Group,"$161,677",4.4%,"$1,569.10","$196,655.90",140.9%,"307,637",1,2018
19,20,AT&T,"$160,546",-2%,"$29,450.00","$444,097.00",127%,"254,000",-1,2018
20,21,General Motors,"$157,311",-5.5%,"$-3,864.00","$212,482.00",-141%,"180,000",-3,2018
21,22,Ford Motor,"$156,776",3.3%,"$7,602.00","$257,808.00",65.4%,"202,000",-1,2018
22,23,China State Construction Engineering,"$156,071",8%,"$2,675.20","$239,680.90",7.3%,"270,467",1,2018
23,24,Hon Hai Precision Industry,"$154,699",14.5%,"$4,559.90","$114,528.30",-1.1%,"803,126",3,2018
24,25,AmerisourceBergen,"$153,144",4.3%,$364.5,"$35,316.50",-74.5%,"19,500",-2,2018
25,26,Industrial & Commercial Bank of China,"$153,021",3.6%,"$42,323.70","$4,005,995.50",1%,"453,048",-4,2018
26,27,AXA,"$149,461",4%,"$6,998.90","$1,044,822.30",8.6%,"95,728",-2,2018
27,28,Total,"$149,099",16.6%,"$8,631.00","$242,631.00",39.3%,"98,277",2,2018
28,29,Ping An Insurance,"$144,197",23.7%,"$13,181.40","$997,093.80",40.3%,"342,550",10,2018
29,30,Honda Motor,"$138,646",7.3%,"$9,561.30","$181,972.80",68%,"215,638",-1,2018
30,31,China Construction Bank,"$138,594",2.6%,"$35,845.20","$3,397,479.00",2.9%,"370,415",-3,2018
31,32,Trafigura Group,"$136,421",39.1%,$847.7,"$48,607.60",12.9%,"3,935",22,2018
32,33,Chevron,"$134,533",25.1%,"$9,195.00","$253,806.00",-,"51,900",12,2018
33,34,Cardinal Health,"$129,976",6.9%,"$1,288.00","$40,112.00",-9.7%,"40,400",1,2018
34,35,Costco,"$129,025",8.7%,"$2,679.00","$36,347.00",14%,"182,000",1,2018
35,36,SAIC Motor,"$128,819",13.1%,"$5,091.30","$111,107.70",5.7%,"148,767",5,2018
36,37,Verizon,"$126,034",-,"$30,101.00","$257,143.00",129.3%,"155,400",-5,2018
37,38,Allianz,"$123,532",1.1%,"$7,668.40","$1,082,252.60",0.7%,"140,553",-4,2018
38,39,Kroger,"$122,662",6.4%,"$1,907.00","$37,197.00",-3.4%,"449,000",1,2018
39,40,Agricultural Bank of China,"$122,366",4.3%,"$28,550.40","$3,233,013.20",3.1%,"491,578",-2,2018
40,41,General Electric,"$122,274",-3.5%,"$-5,786.00","$377,945.00",-165.5%,"313,000",-10,2018
41,42,China Life Insurance,"$120,224",14.7%,$266.5,"$552,760.60",64.1%,"170,517",9,2018
42,43,Walgreens Boots Alliance,"$118,214",0.7%,"$4,078.00","$66,009.00",-2.3%,"290,000",-6,2018
43,44,BNP Paribas,"$117,375",7.7%,"$8,746.10","$2,353,808.80",2.7%,"189,509",-1,2018
44,45,Japan Post Holdings,"$116,616",-5.2%,"$4,157.50","$2,733,378.70",-,"245,863",-12,2018
45,46,Bank of China,"$115,423",1.5%,"$25,509.20","$2,989,469.30",3%,"311,133",-4,2018
46,47,JPMorgan Chase & Co.,"$113,899",8%,"$24,441.00","$2,533,600.00",-1.2%,"252,539",1,2018
47,48,Fannie Mae,"$112,394",4.9%,"$2,463.00","$3,345,529.00",-80%,"7,200",-2,2018
48,49,Gazprom,"$111,983",22.5%,"$12,249.90","$316,870.90",-13.9%,"469,600",14,2018
49,50,Prudential,"$111,458",14.9%,"$3,076.10","$668,029.50",18.6%,"24,711",6,2018
50,51,BMW Group,"$111,231",6.8%,"$9,716.60","$232,328.30",28%,"129,932",1,2018
51,52,Alphabet,"$110,855",22.8%,"$12,662.00","$197,295.00",-35%,"80,110",13,2018
52,53,China Mobile Communications,"$110,159",2.8%,"$10,932.00","$264,342.60",13.7%,"467,532",-6,2018
53,54,Nissan Motor,"$107,868",-0.3%,"$6,741.30","$176,308.70",10.1%,"148,872",-10,2018
54,55,Nippon Telegraph & Telephone,"$106,500",1.3%,"$8,210.70","$203,853.80",11.2%,"282,533",-5,2018
55,56,China Railway Engineering Group,"$102,767",6%,"$1,169.80","$130,212.20",26.6%,"290,535",-1,2018
56,57,Home Depot,"$100,904",6.7%,"$8,630.00","$44,529.00",8.5%,"413,000",2,2018
57,58,China Railway Construction,"$100,855",6.3%,"$1,308.80","$126,891.50",9.8%,"364,964",-,2018
58,59,Assicurazioni Generali,"$100,552",5.6%,"$2,378.40","$644,908.70",3.4%,"71,327",-2,2018
59,60,Bank of America Corp.,"$100,264",7%,"$18,232.00","$2,281,234.00",1.8%,"209,376",2,2018
60,61,Express Scripts Holding,"$100,065",-0.2%,"$4,517.40","$54,255.80",32.7%,"26,600",-8,2018
61,62,Wells Fargo,"$97,741",3.8%,"$22,183.00","$1,951,757.00",1.1%,"262,700",-1,2018
62,63,Lukoil,"$93,897",32.4%,"$7,182.30","$90,797.50",132.4%,"103,600",39,2018
63,64,Boeing,"$93,392",-1.2%,"$8,197.00","$92,333.00",67.5%,"140,800",-4,2018
64,65,Dongfeng Motor,"$93,294",8.2%,"$1,400.00","$71,384.20",-1.1%,"180,433",3,2018
65,66,Siemens,"$91,585",3.6%,"$6,667.40","$158,160.80",10.2%,"372,000",-,2018
66,67,Phillips 66,"$91,568",26.5%,"$5,106.00","$54,371.00",228.4%,"14,600",29,2018
67,68,Carrefour,"$91,276",4.8%,$-598.6,"$57,412.30",-172.6%,"378,923",-1,2018
68,69,Nestle,"$91,222",0.4%,"$7,297.40","$133,819.20",-15.7%,"323,000",-5,2018
69,70,Anthem,"$90,039",6.1%,"$3,842.80","$70,540.00",55.6%,"56,000",-,2018
70,71,Microsoft,"$89,950",5.4%,"$21,204.00","$241,086.00",26.2%,"124,000",-2,2018
71,72,Huawei Investment & Holding,"$89,311",13.8%,"$7,020.80","$77,583.70",25.8%,"180,000",11,2018
72,73,Petrobras,"$88,827",9.1%,$-91,"$251,366.00",-,"62,703",2,2018
73,74,Valero Energy,"$88,407",26%,"$4,065.00","$50,158.00",77.6%,"10,015",32,2018
74,75,Bosch Group,"$87,997",8.8%,"$3,103.20","$98,306.90",44%,"402,166",1,2018
75,76,Citigroup,"$87,966",6.8%,"$-6,798.00","$1,842,465.00",-145.6%,"209,000",-2,2018
76,77,Banco Santander,"$87,401",5.6%,"$7,461.00","$1,734,275.90",8.8%,"198,960",-4,2018
77,78,Hyundai Motor,"$85,259",5.6%,"$3,567.60","$166,479.30",-23.4%,"122,217",-,2018
78,79,Hitachi,"$84,559",-,"$3,276.20","$95,049.40",53.5%,"307,275",-8,2018
79,80,Comcast,"$84,526",5.1%,"$22,714.00","$186,949.00",161.2%,"164,000",-1,2018
80,81,Deutsche Telekom,"$84,481",4.5%,"$3,901.30","$169,709.40",31.9%,"216,000",-4,2018
81,82,Credit Agricole,"$84,222",4.9%,"$4,113.20","$1,861,531.00",5.1%,"73,707",-2,2018
82,83,Enel,"$84,134",7.8%,"$4,259.70","$186,888.80",49.9%,"62,900",1,2018
83,84,SK Holdings,"$83,544",15.1%,"$1,483.90","$102,556.90",124.9%,"93,000",11,2018
84,85,SoftBank Group,"$82,665",-0.3%,"$9,377.50","$293,242.40",-28.8%,"74,952",-13,2018
85,86,China Resources,"$82,184",8.5%,"$3,151.90","$186,720.40",22.2%,"423,169",-,2018
86,87,China National Offshore Oil,"$81,482",23.7%,"$3,018.50","$173,408.30",72.2%,"97,986",28,2018
87,88,Uniper,"$81,428",9.4%,$-739.5,"$51,826.40",-,"12,575",3,2018
88,89,ENI,"$80,006",27.6%,"$3,803.20","$138,001.90",-,"32,934",43,2018
89,90,HSBC Holdings,"$79,637",5.7%,"$10,798.00","$2,521,771.00",335.6%,"228,687",-2,2018
90,91,China Communications Construction,"$79,417",12.2%,"$1,544.70","$183,197.50",7.9%,"161,434",12,2018
91,92,IBM,"$79,139",-1%,"$5,753.00","$125,356.00",-51.5%,"397,800",-11,2018
92,93,Dell Technologies,"$78,660",21.4%,"$-3,728.00","$122,281.00",-,"145,000",31,2018
93,94,Electricite de France,"$78,490",-0.3%,"$3,576.70","$337,118.20",13.4%,"151,073",-12,2018
94,95,State Farm Insurance Cos.,"$78,331",2.9%,"$2,206.50","$272,345.20",529.9%,"65,664",-10,2018
95,96,Pacific Construction Group,"$77,205",3.5%,"$3,143.90","$56,577.20",-0.8%,"365,425",-7,2018
96,97,Sony,"$77,116",9.9%,"$4,429.80","$179,305.40",554.9%,"117,300",8,2018
97,98,Sinochem Group,"$76,765",28.9%,$753.3,"$64,065.60",60.9%,"63,799",45,2018
98,99,JXTG Holdings,"$76,629",20.4%,"$3,266.60","$79,540.60",121.1%,"39,784",28,2018
99,100,Johnson & Johnson,"$76,450",6.3%,"$1,300.00","$157,303.00",-92.1%,"134,000",-3,2018
100,101,China Energy Investment,"$75,522",102.4%,"$2,494.90","$274,440.50",30.2%,"313,264",175,2018
101,102,Tesco,"$75,405",1.4%,"$1,581.80","$61,801.90",-,"327,916",-10,2018
102,103,AEON,"$75,339",-0.6%,$220.2,"$88,600.20",112%,"279,625",-16,2018
103,104,Engie,"$75,279",2.2%,"$1,604.00","$180,513.90",-,"155,128",-11,2018
104,105,Airbus Group,"$75,261",2.2%,"$3,238.50","$136,812.00",194.3%,"129,442",-11,2018
105,106,Freddie Mac,"$74,676",13.7%,"$5,625.00","$2,049,776.00",-28%,"6,165",12,2018
106,107,Pemex,"$73,850",27.8%,"$-14,846.10","$108,978.60",-,"131,590",45,2018
107,108,Peugeot,"$73,506",23%,"$2,174.40","$69,050.20",13.7%,"177,757",32,2018
108,109,China Minmetals,"$72,997",11.4%,$-210.7,"$131,337.80",-,"203,786",11,2018
109,110,China Southern Power Grid,"$72,787",2.2%,"$1,937.90","$113,886.20",-16.8%,"299,842",-10,2018
110,111,Amer International Group,"$72,766",46.5%,"$1,545.80","$22,046.60",28.8%,"17,886",72,2018
111,112,BASF,"$72,677",14.2%,"$6,851.20","$94,582.10",52.7%,"111,112",14,2018
112,113,China Post Group,"$72,197",10%,"$4,960.70","$1,422,554.90",-0.4%,"948,239",6,2018
113,114,Panasonic,"$72,045",6.3%,"$2,130.40","$59,166.30",54.6%,"274,143",-4,2018
114,115,Rosneft Oil,"$72,028",27.4%,"$3,807.20","$212,425.50",40.7%,"318,000",43,2018
115,116,Target,"$71,879",3.4%,"$2,934.00","$38,999.00",7.2%,"345,000",-9,2018
116,117,People's Insurance Co. of China,"$71,579",7.3%,"$2,382.00","$151,705.50",11.1%,"215,362",-3,2018
117,118,Royal Ahold Delhaize,"$70,891",29%,"$2,048.20","$40,671.20",123.1%,"224,000",47,2018
118,119,Deutsche Post DHL Group,"$70,545",7.2%,"$3,058.10","$46,436.10",4.8%,"472,208",-2,2018
119,120,Munich Re Group,"$70,143",2.1%,$422.7,"$319,070.60",-85.2%,"42,410",-11,2018
120,121,Societe Generale,"$69,948",0.9%,"$3,163.00","$1,531,133.50",-26.2%,"153,168",-13,2018
121,122,COFCO,"$69,669",13.7%,$393.5,"$83,596.60",92.5%,"124,266",14,2018
122,123,U.S. Postal Service,"$69,636",-2.6%,"$-2,742.00","$27,394.00",-,"573,614",-24,2018
123,124,Beijing Automotive Group,"$69,591",13.8%,"$1,554.50","$67,030.50",23.3%,"128,735",13,2018
124,125,China FAW Group,"$69,524",7.3%,"$2,855.80","$67,073.70",18.4%,"123,658",-,2018
125,126,Nippon Life Insurance,"$68,684",1.9%,"$2,201.60","$699,638.10",-21%,"86,394",-15,2018
126,127,ArcelorMittal,"$68,679",20.9%,"$4,568.00","$85,297.00",156.8%,"197,108",29,2018
127,128,Lowe's,"$68,619",5.5%,"$3,447.00","$35,291.00",11.4%,"255,000",-6,2018
128,129,Mitsubishi,"$68,301",15.2%,"$5,056.00","$150,822.80",24.4%,"77,476",16,2018
129,130,Marubeni,"$68,057",3.4%,"$1,906.80","$64,677.10",33%,"45,239",-14,2018
130,131,Marathon Petroleum,"$67,610",21%,"$3,432.00","$49,047.00",192.3%,"43,800",29,2018
131,132,Tewoo Group,"$66,577",5.1%,$121.9,"$38,257.00",-14%,"17,105",-3,2018
132,133,Itau Unibanco Holding,"$66,287",-0.9%,"$7,488.30","$432,701.80",12.3%,"99,332",-20,2018
133,134,Renault,"$66,247",16.9%,"$5,764.60","$132,016.10",52.5%,"181,344",23,2018
134,135,Procter & Gamble,"$66,217",-7.7%,"$15,326.00","$120,406.00",45.9%,"95,000",-37,2018
135,136,MetLife,"$66,153",4.2%,"$4,010.00","$719,892.00",401.3%,"49,000",-8,2018
136,137,Indian Oil,"$65,916",23.1%,"$3,442.20","$45,337.50",16.3%,"35,149",31,2018
137,138,UPS,"$65,872",8.2%,"$4,910.00","$45,403.00",43.1%,"346,415",-,2018
138,139,Aegon,"$65,437",11.3%,"$2,783.10","$475,411.90",475.9%,"28,318",8,2018
139,140,China North Industries Group,"$64,646",5.4%,$857.7,"$58,044.30",0.5%,"226,338",-5,2018
140,141,China Telecommunications,"$63,974",2.5%,"$1,819.90","$126,726.50",3.1%,"412,868",-8,2018
141,142,Zurich Insurance Group,"$63,961",-4.9%,"$3,004.00","$422,065.00",-6.4%,"51,633",-30,2018
142,143,Aviva,"$63,934",-14.3%,"$1,927.60","$598,708.40",103.1%,"30,021",-53,2018
143,144,PepsiCo,"$63,525",1.2%,"$4,857.00","$79,804.00",-23.3%,"263,000",-13,2018
144,145,Dai-ichi Life Holdings,"$63,522",6.6%,"$3,284.70","$504,119.50",53.9%,"62,943",-3,2018
145,146,Intel,"$62,761",5.7%,"$9,601.00","$123,249.00",-6.9%,"102,700",-2,2018
146,147,DowDuPont,"$62,683",30.2%,"$1,460.00","$192,164.00",-66.2%,"98,000",49,2018
147,148,Reliance Industries,"$62,304",32.7%,"$5,596.30","$125,176.20",25.5%,"187,729",55,2018
148,149,CITIC Group,"$61,316",16%,"$3,224.70","$972,752.60",-0.4%,"258,433",23,2018
149,150,Equinor,"$61,187",33.4%,"$4,590.00","$111,100.00",-,"20,245",57,2018
150,151,Groupe BPCE,"$61,128",-13.3%,"$3,408.70","$1,512,788.20",-22.7%,"104,770",-47,2018
151,152,Archer Daniels Midland,"$60,828",-2.4%,"$1,595.00","$39,963.00",24.7%,"31,300",-18,2018
152,153,Unilever,"$60,548",3.9%,"$6,823.00","$72,388.30",19%,"160,566",-3,2018
153,154,Aetna,"$60,535",-4.1%,"$1,904.00","$55,151.00",-16.2%,"47,950",-24,2018
154,155,FedEx,"$60,319",19.8%,"$2,997.00","$48,552.00",64.7%,"404,336",25,2018
155,156,Auchan Holding,"$60,028",2%,$310,"$42,801.40",-52.5%,"341,349",-10,2018
156,157,Albertsons Cos.,"$59,925",0.4%,$46.3,"$21,812.30",-,"275,000",-16,2018
157,158,Vodafone Group,"$59,838",2.1%,"$2,849.40","$179,059.30",-,"106,135",-9,2018
158,159,United Technologies,"$59,837",4.5%,"$4,552.00","$96,920.00",-10%,"204,700",-4,2018
159,160,Prudential Financial,"$59,689",1.5%,"$7,863.00","$831,921.00",80%,"49,705",-12,2018
160,161,Aviation Industry Corp. of China,"$59,263",7.2%,$363.1,"$133,772.10",-21.8%,"452,178",1,2018
161,162,China Baowu Steel Group,"$59,255",27.1%,$21.9,"$114,497.40",-95.1%,"176,518",42,2018
162,163,PTT,"$58,819",20.7%,"$3,984.10","$68,517.90",48.6%,"25,275",29,2018
163,164,Telefonica,"$58,624",1.9%,"$3,530.40","$138,167.60",34.8%,"122,718",-11,2018
164,165,Toyota Tsusho,"$58,586",9.5%,"$1,175.40","$40,534.60",18%,"56,827",-,2018
165,166,Banco Bradesco,"$58,062",1.1%,"$5,353.70","$369,192.60",4.4%,"86,317",-12,2018
166,167,ChemChina,"$57,989",28.4%,$-739,"$122,068.70",-4222.80%,"142,083",44,2018
167,168,Bank of Communications,"$57,711",8.9%,"$10,390.30","$1,387,938.30",2.7%,"94,085",3,2018
168,169,Roche Group,"$56,634",6%,"$8,770.60","$78,698.60",-9.8%,"93,734",-,2018
169,170,Anheuser-Busch InBev,"$56,444",23%,"$7,996.00","$246,126.00",544.3%,"182,915",36,2018
170,171,ING Group,"$56,347",1.9%,"$6,159.10","$1,013,302.10",12%,"54,302",-8,2018
171,172,Legal & General Group,"$55,999",-46.8%,"$2,434.90","$684,172.30",43.4%,"7,570",-123,2018
172,173,Louis Dreyfus,"$55,440",11.2%,$317,"$20,394.00",3.9%,"17,210",9,2018
173,174,Sysco,"$55,371",9.9%,"$1,142.50","$17,756.70",20.3%,"66,500",5,2018
174,175,Banco do Brasil,"$55,269",-4.9%,"$3,329.80","$408,007.40",65.3%,"99,161",-24,2018
175,176,Disney,"$55,137",-0.9%,"$8,980.00","$95,789.00",-4.4%,"199,000",-15,2018
176,177,Mitsubishi UFJ Financial Group,"$54,769",-0.8%,"$8,932.50","$2,886,649.30",4.5%,"117,321",-13,2018
177,178,LG Electronics,"$54,314",13.8%,"$1,526.70","$38,509.90",2204.50%,"74,000",23,2018
178,179,Seven & I Holdings,"$54,217",0.7%,"$1,626.70","$51,503.90",82.2%,"56,606",-12,2018
179,180,America Movil,"$54,006",3.5%,"$1,550.20","$75,968.60",234.9%,"191,851",-4,2018
180,181,JD.com,"$53,965",37.8%,$-22.5,"$28,264.00",-,"157,831",80,2018
181,182,PowerChina,"$53,870",10.2%,$946.7,"$105,031.20",-10.5%,,,2018
182,,,,,,,,,,2018
183,,,,,,,,,,2018
184,,,,,,,,,,2018
185,,,,,,,,,,2018
186,,,,,,,,,,2018
187,,,,,,,,,,2018
188,,,,,,,,,,2018
189,,,,,,,,,,2018
190,191,Petronas,"$52,028",5.2%,"$8,761.90","$148,330.90",114.1%,"49,911",-7,2018
191,192,Sumitomo Mitsui Financial Group,"$52,026",9.8%,"$6,628.20","$1,871,994.10",1.7%,"72,978",10,2018
192,193,Bayer,"$51,933",-1.2%,"$8,269.30","$90,162.10",65%,"99,820",-19,2018
193,194,Sinopharm,"$51,844",8.4%,$690.1,"$43,301.20",36.9%,"110,641",5,2018
194,195,Wesfarmers,"$51,600",7.5%,"$2,165.90","$30,763.00",631.5%,"223,000",3,2018
195,196,Finatis,"$51,578",7.1%,$-66.5,"$48,192.80",-109.7%,"231,544",1,2018
196,197,Oil & Natural Gas,"$51,219",156.9%,"$3,429.30","$70,571.00",12.2%,"32,265",-,2018
197,198,Nippon Steel & Sumitomo Metal,"$51,164",19.7%,"$1,760.60","$71,404.20",45.7%,"101,738",30,2018
198,199,JBS,"$51,118",4.7%,$167.4,"$32,776.30",150%,"235,000",-8,2018
199,200,Lockheed Martin,"$51,048",0.8%,"$2,002.00","$46,521.00",-62.2%,"100,000",-22,2018
200,201,CNP Assurances,"$50,737",6.1%,"$1,447.90","$508,283.10",9.1%,"5,171",-1,2018
201,202,Guangzhou Automobile Industry Group,"$50,323",21.1%,$989.2,"$39,171.00",79.2%,"84,290",36,2018
202,203,Novartis,"$50,135",1.4%,"$7,703.00","$133,079.00",14.8%,"121,597",-17,2018
