,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,country/territory,year
0,1,Walmart,"$514,405.00 ",2.80%,"$6,670.00 ","$219,295.00 ",-32.40%,"2,200,000",-,U.S.,2019
1,2,Sinopec Group,"$414,649.90 ",26.80%,"$5,845.00 ","$329,186.30 ",280.10%,"619,151",1,China,2019
2,3,Royal Dutch Shell,"$396,556.00 ",27.20%,"$23,352.00 ","$399,194.00 ",79.90%,"81,000",2,Netherlands,2019
3,4,China National Petroleum,"$392,976.60 ",20.50%,"$2,270.50 ","$601,899.90 ",-,"1,382,401",-,China,2019
4,5,State Grid,"$387,056.00 ",10.90%,"$8,174.80 ","$572,309.50 ",-14.30%,"917,717",-3,China,2019
5,6,Saudi Aramco,"$355,905.00 ",35.30%,"$110,974.50 ","$358,872.90 ",46.90%,"76,418",-,Saudi Arabia,2019
6,7,BP,"$303,738.00 ",24.20%,"$9,383.00 ","$282,176.00 ",176.90%,"73,000",1,Britain,2019
7,8,Exxon Mobil,"$290,212.00 ",18.80%,"$20,840.00 ","$346,196.00 ",5.70%,"71,000",1,U.S.,2019
8,9,Volkswagen,"$278,341.50 ",7%,"$14,322.50 ","$523,672.30 ",9.30%,"664,496",-2,Germany,2019
9,10,Toyota Motor,"$272,612.00 ",2.80%,"$16,982.00 ","$469,295.60 ",-24.60%,"370,870",-4,Japan,2019
10,11,Apple,"$265,595.00 ",15.90%,"$59,531.00 ","$365,725.00 ",23.10%,"132,000",-,U.S.,2019
11,12,Berkshire Hathaway,"$247,837.00 ",2.40%,"$4,021.00 ","$707,794.00 ",-91.10%,"389,000",-2,U.S.,2019
12,13,Amazon.com,"$232,887.00 ",30.90%,"$10,073.00 ","$162,648.00 ",232.10%,"647,500",5,U.S.,2019
13,14,UnitedHealth Group,"$226,247.00 ",12.50%,"$11,986.00 ","$152,221.00 ",13.50%,"300,000",1,U.S.,2019
14,15,Samsung Electronics,"$221,579.40 ",4.50%,"$39,895.20 ","$304,165.30 ",9.10%,"309,630",-3,South Korea,2019
15,16,Glencore,"$219,754.00 ",6.90%,"$3,408.00 ","$128,672.00 ",-41%,"85,504",-2,Switzerland,2019
16,17,McKesson,"$214,319.00 ",2.90%,$34 ,"$59,672.00 ",-49.30%,"70,000",-4,U.S.,2019
17,18,Daimler,"$197,515.30 ",6.60%,"$8,555.00 ","$321,890.50 ",-27.90%,"298,683",-2,Germany,2019
18,19,CVS Health,"$194,579.00 ",5.30%,($594),"$196,456.00 ",-109%,"295,000",-2,U.S.,2019
19,20,Total,"$184,106.00 ",23.50%,"$11,446.00 ","$256,762.00 ",32.60%,"104,460",8,France,2019
20,21,China State Construction Engineering,"$181,524.50 ",16.30%,"$3,159.50 ","$272,768.80 ",18.10%,"302,827",2,China,2019
21,22,Trafigura Group,"$180,744.10 ",32.50%,$849.20 ,"$53,801.00 ",0.20%,"4,316",10,Singapore,2019
22,23,Hon Hai Precision Industry,"$175,617.00 ",13.50%,"$4,281.60 ","$110,012.90 ",-6.10%,"667,680",1,Taiwan,2019
23,24,EXOR Group,"$175,009.50 ",8.20%,"$1,589.70 ","$190,052.30 ",1.30%,"314,790",-5,Netherlands,2019
24,25,AT&T,"$170,756.00 ",6.40%,"$19,370.00 ","$531,864.00 ",-34.20%,"268,220",-5,U.S.,2019
25,26,Industrial & Commercial Bank of China,"$168,979.00 ",10.40%,"$45,002.30 ","$4,034,481.60 ",6.30%,"449,296",-,China,2019
26,27,AmerisourceBergen,"$167,939.60 ",9.70%,"$1,658.40 ","$37,669.80 ",355%,"20,500",-2,U.S.,2019
27,28,Chevron,"$166,339.00 ",23.60%,"$14,824.00 ","$253,863.00 ",61.20%,"48,600",5,U.S.,2019
28,29,Ping An Insurance,"$163,597.40 ",13.50%,"$16,237.20 ","$1,040,383.40 ",23.20%,"376,900",-,China,2019
29,30,Ford Motor,"$160,338.00 ",2.30%,"$3,677.00 ","$256,540.00 ",-51.60%,"199,000",-8,U.S.,2019
30,31,China Construction Bank,"$151,110.80 ",9%,"$38,498.40 ","$3,382,421.70 ",7.40%,"366,996",-,China,2019
31,32,General Motors,"$147,049.00 ",-6.50%,"$8,014.00 ","$227,339.00 ",-,"173,000",-11,U.S.,2019
32,33,Mitsubishi,"$145,243.30 ",112.70%,"$5,328.00 ","$149,388.30 ",5.40%,"79,994",96,Japan,2019
33,34,Honda Motor,"$143,302.90 ",3.40%,"$5,504.60 ","$184,504.60 ",-42.40%,"219,722",-4,Japan,2019
34,35,Costco Wholesale,"$141,576.00 ",9.70%,"$3,134.00 ","$40,830.00 ",17%,"194,000",-,U.S.,2019
35,36,Agricultural Bank of China,"$139,523.60 ",14%,"$30,656.50 ","$3,293,105.00 ",7.40%,"477,526",4,China,2019
36,37,Alphabet,"$136,819.00 ",23.40%,"$30,736.00 ","$232,792.00 ",142.70%,"98,771",15,U.S.,2019
37,38,Cardinal Health,"$136,809.00 ",5.30%,$256 ,"$39,951.00 ",-80.10%,"50,200",-4,U.S.,2019
38,39,SAIC Motor,"$136,392.50 ",5.90%,"$5,443.80 ","$114,011.70 ",6.90%,"147,738",-3,China,2019
39,40,Walgreens Boots Alliance,"$131,537.00 ",11.30%,"$5,024.00 ","$68,124.00 ",23.20%,"299,000",3,U.S.,2019
40,41,JPMorgan Chase & Co.,"$131,412.00 ",15.40%,"$32,474.00 ","$2,622,532.00 ",32.90%,"256,105",6,U.S.,2019
41,42,Gazprom,"$131,302.00 ",17.30%,"$23,199.10 ","$300,354.80 ",89.40%,"466,100",7,Russia,2019
42,43,Verizon Communications,"$130,863.00 ",3.80%,"$15,528.00 ","$264,829.00 ",-48.40%,"144,500",-6,U.S.,2019
43,44,Bank of China,"$127,714.10 ",10.60%,"$27,225.20 ","$3,097,612.00 ",6.70%,"310,119",2,China,2019
44,45,Allianz,"$126,799.60 ",2.60%,"$8,806.40 ","$1,025,919.10 ",14.80%,"142,460",-7,Germany,2019
45,46,AXA,"$125,578.20 ",-16%,"$2,525.60 ","$1,063,784.40 ",-63.90%,"104,065",-19,France,2019
46,47,Kroger,"$121,162.00 ",-1.20%,"$3,110.00 ","$38,118.00 ",63.10%,"453,000",-8,U.S.,2019
47,48,General Electric,"$120,268.00 ",-1.60%,"($22,355.00)","$309,129.00 ",-,"283,000",-7,U.S.,2019
48,49,Fannie Mae,"$120,101.00 ",6.90%,"$15,959.00 ","$3,418,318.00 ",547.90%,"7,400",-1,U.S.,2019
49,50,Lukoil,"$119,145.00 ",26.90%,"$9,863.70 ","$82,734.80 ",37.30%,"102,500",13,Russia,2019
50,51,China Life Insurance,"$116,171.50 ",-3.40%,"($2,566.90)","$580,331.60 ",-1063.10%,"175,077",-9,China,2019
51,52,Japan Post Holdings,"$115,220.50 ",-1.20%,"$4,324.00 ","$2,585,802.00 ",4%,"245,922",-7,Japan,2019
52,53,BMW Group,"$115,042.80 ",3.40%,"$8,399.30 ","$238,864.10 ",-13.60%,"134,682",-2,Germany,2019
53,54,Phillips 66,"$114,217.00 ",24.70%,"$5,595.00 ","$54,302.00 ",9.60%,"14,200",13,U.S.,2019
54,55,China Railway Engineering Group,"$112,132.70 ",9.10%,"$1,240.90 ","$137,914.20 ",6.10%,"307,992",1,China,2019
55,56,China Mobile Communications,"$112,096.00 ",1.80%,"$11,745.30 ","$255,216.60 ",7.40%,"462,046",-3,China,2019
56,57,Valero Energy,"$111,407.00 ",26%,"$3,122.00 ","$50,155.00 ",-23.20%,"10,261",17,U.S.,2019
57,58,Bank of America Corp.,"$110,584.00 ",10.30%,"$28,147.00 ","$2,354,507.00 ",54.40%,"204,489",2,U.S.,2019
58,59,China Railway Construction,"$110,455.90 ",9.50%,"$1,186.90 ","$134,180.20 ",-9.30%,"356,326",-1,China,2019
59,60,Microsoft,"$110,360.00 ",22.70%,"$16,571.00 ","$258,848.00 ",-21.80%,"131,000",11,U.S.,2019
60,61,Huawei Investment & Holding,"$109,030.40 ",22.10%,"$8,953.90 ","$96,973.70 ",27.50%,"188,000",11,China,2019
61,62,Home Depot,"$108,203.00 ",7.20%,"$11,121.00 ","$44,003.00 ",28.90%,"413,000",-5,U.S.,2019
62,63,China National Offshore Oil,"$108,130.40 ",32.70%,"$7,331.10 ","$177,193.60 ",142.90%,"93,601",24,China,2019
63,64,Nippon Telegraph & Telephone,"$107,146.90 ",0.60%,"$7,707.50 ","$201,456.10 ",-6.10%,"303,351",-9,Japan,2019
64,65,Itochu,"$104,627.30 ",110.40%,"$4,514.30 ","$91,250.60 ",24.90%,"139,157",139,Japan,2019
65,66,Nissan Motor,"$104,390.60 ",-3.20%,"$2,878.40 ","$171,251.00 ",-57.30%,"148,513",-12,Japan,2019
66,67,China Development Bank,"$103,072.90 ",28.30%,"$16,744.30 ","$2,356,616.20 ",0.70%,"9,507",-,China,2019
67,68,Boeing,"$101,127.00 ",8.30%,"$10,460.00 ","$117,359.00 ",27.60%,"153,000",-4,U.S.,2019
68,69,Wells Fargo,"$101,060.00 ",3.40%,"$22,393.00 ","$1,895,883.00 ",0.90%,"258,700",-7,U.S.,2019
69,70,Siemens,"$98,802.00 ",7.90%,"$6,908.90 ","$161,335.90 ",3.60%,"379,000",-4,Germany,2019
70,71,Citigroup,"$97,120.00 ",10.40%,"$18,045.00 ","$1,917,383.00 ",-,"204,000",5,U.S.,2019
71,72,Marathon Petroleum,"$97,102.00 ",43.60%,"$2,780.00 ","$92,940.00 ",-19%,"60,350",59,U.S.,2019
72,73,SK Holdings,"$95,904.50 ",14.80%,"$2,048.00 ","$107,069.10 ",38%,"104,374",11,South Korea,2019
73,74,Petrobras,"$95,584.00 ",7.60%,"$7,173.00 ","$222,068.00 ",-,"63,361",-1,Brazil,2019
74,75,Comcast,"$94,507.00 ",11.80%,"$11,731.00 ","$251,684.00 ",-48.40%,"184,000",5,U.S.,2019
