"company_info_id";"rank";"company";"employees";"sector";"industry";"change in rank 500";"HQ Location";"Website";"Years on Global 500 List";"revenues_$m";"profit_$m";"assets_$m";"total_stockholder_equity_$m";"profit_as_%_of_revenues";"profits_as_%_of_assets";"profits_as_%_of_stockholder_equity";"ceo";"Born";"BoY";"education";"country";"g_leadership_id";"Country Name";"Performance Oriented";"Autocratic";"Modesty";"Charismatic 3: Self-sacrifice";"Team 1: Collaborative Team Orientation";"Decisive";"Diplomatic";"Face-saver";"Charismatic 1: Visionary";"Humane-oriented";"Integrity";"Bureaucratic, Originally Labeled ??Procedural??";"Administratively Competent";"Self-centred";"Autonomous";"Status Conscious";"Charismatic 2: Inspirational";"Malevolent";"Team 2: Team Integrator";"Internally Competitive, Originally Labeled ??Conflict Inducer??";"Participative";"Charismatic/Value-based Global Leadership Dimension";"Team-Oriented Global Leadership Dimension";"Self-Protective Global Leadership Dimension";"Participative Global Leadership Dimension";"Humane-Oriented Global Leadership Dimension";"Autonomous Global Leadership Dimension";"Country Cluster";"g_societal_culture_id";"Country Name";"Uncertainty Avoidance Societal Practices";"Future Orientation Societal Practices";"Power Distance Societal Practices";"Collectivism I Societal Practices (Institutional Collectivism)";"Humane Orientation Societal Practices";"Performance Orientation Societal Practices";"Collectivism II Societal Practices (In-group Collectivism)";"Gender Egalitarianism Societal Practices";"Assertiveness Societal Practices";"Uncertainty Avoidance Societal Values";"Future Orientation Societal Values";"Power Distance Societal Values";"Collectivism I Societal Values (Institutional Collectivism)";"Human Orientation Societal Values";"Performance Orientation Societal Values";"Collectivism II Societal Values (In-group Collectivism)";"Gender Egalitarianism Societal Values";"Assertiveness Societal Values";"Country Cluster";"hofstede_id";"ctr";"country";"pdi";"idv";"mas";"uai";"ltowvs";"ivr"
"1";"1";"Walmart";"2,200,000";"Retailing";"General Merchandisers";"-";"Bentonville, Ark.";"https://www.walmart.com";"25";"$514,405.00";"$6,670.00";"$219,295.00";"$72,496.00";"1.3%";"3%";"9.2%";"Doug McMillon";"October 17, 1966 (age 53 years), Memphis, TN";"1966";"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"2";"2";"Sinopec Group";"619,151";"Energy";"Petroleum Refining";"1";"Beijing";"https://www.sinopec.com";"21";"$414,649.90";"$5,845.00";"$329,186.30";"$105,181.50";"1.4%";"1.8%";"5.6%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"3";"3";"Royal Dutch Shell";"81,000";"Energy";"Petroleum Refining";"2";"The Hague";"https://www.shell.com";"25";"$396,556.00";"$23,352.00";"$399,194.00";"$198,646.00";"5.9%";"5.8%";"11.8%";"Ben van Beurden";"April 23, 1958 (age 61 years), Netherlands";"1958";"Delft University of Technology (TU Delft)";"Netherlands";"56";"Malaysia";"6.11";"2.86";"5.32";"5.18";"5.42";"5.93";"5.70";"3.59";"6.01";"5.14";"6.03";"3.95";"5.93";"2.16";"4.03";"3.64";"6.10";"1.91";"5.90";"3.98";"5.09";"5.89";"5.80";"3.49";"5.12";"5.24";"4.03";"Southern Asia";"56";"Malaysia";"4.78";"4.58";"5.17";"4.61";"4.87";"4.34";"5.51";"3.51";"3.87";"4.88";"5.89";"2.97";"4.87";"5.51";"6.04";"5.85";"3.78";"4.81";"Southern Asia";"72";"NET";"Netherlands";"38";"80";"14";"53";"67";"68"
"4";"4";"China National Petroleum";"1,382,401";"Energy";"Petroleum Refining";"-";"Beijing";"https://www.cnpc.com.cn";"19";"$392,976.60";"$2,270.50";"$601,899.90";"$291,198.60";"0.6%";"0.4%";"0.8%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"5";"5";"State Grid";"917,717";"Energy";"Utilities";"-3";"Beijing";"https://www.sgcc.com.cn";"19";"$387,056.00";"$8,174.80";"$572,309.50";"$240,041.50";"2.1%";"1.4%";"3.4%";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"6";"6";"Saudi Aramco";"76,418";"Energy";"Mining, Crude-Oil Production";"-";"Dhahran, Saudi Arabia";"https://www.saudiaramco.com";"1";"$355,905.00";"$110,974.50";"$358,872.90";"$271,062.40";"31.2%";"30.9%";"40.9%";"Amin H. Nasser";"1960 (age 60 years)";"1960";"جامعة الملك فهد للبترول والمعادن";"Saudi";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"7";"7";"BP";"73,000";"Energy";"Petroleum Refining";"1";"London";"https://www.bp.com";"25";"$303,738.00";"$9,383.00";"$282,176.00";"$99,444.00";"3.1%";"3.3%";"9.4%";"Bob Dudley";"September 14, 1955 (age 64 years), Queens, New York, NY";"1955";"University of Illinois at Urbana-Champaign, MORE";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"8";"8";"Exxon Mobil";"71,000";"Energy";"Petroleum Refining";"1";"Irving, Texas";"https://www.exxonmobil.com";"25";"$290,212.00";"$20,840.00";"$346,196.00";"$191,794.00";"7.2%";"6%";"10.9%";"Darren Woods";"Wichita, KS";"";"Kellogg School of Management, Texas A&M University";"American";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
"9";"9";"Volkswagen";"664,496";"Motor Vehicles & Parts";"Motor Vehicles and Parts";"-2";"Wolfsburg, Germany";"https://www.volkswagenag.com";"25";"$278,341.50";"$14,322.50";"$523,672.30";"$133,864.70";"5.1%";"2.7%";"10.7%";"Herbert Diess";"October 24, 1958 (age 61 years), Munich, Germany";"1958";"Technische Universität München (1987), MORE";"Germany";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;"40";"GER";"Germany";"35";"67";"66";"65";"83";"40"
"10";"10";"Toyota Motor";"370,870";"Motor Vehicles & Parts";"Motor Vehicles and Parts";"-4";"Toyota, Japan";"https://www.toyota-global.com";"25";"$272,612.00";"$16,982.00";"$469,295.60";"$174,827.40";"6.2%";"3.6%";"9.7%";"Akio Toyoda";"May 3, 1956 (age 63 years), Nagoya, Aichi, Japan";"1956";"Babson College, Keio University";"Japanese";\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
