,Revenues_$M,Profits_$M,Assets_$M,Total_Stockholder_Equity_$M,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company
0,"$514,405.00","$6,670.00","$219,295.00","$72,496.00",1.3%,3%,9.2%,Walmart
1,"$414,649.90","$5,845.00","$329,186.30","$105,181.50",1.4%,1.8%,5.6%,Sinopec Group
2,"$396,556.00","$23,352.00","$399,194.00","$198,646.00",5.9%,5.8%,11.8%,Royal Dutch Shell
3,"$392,976.60","$2,270.50","$601,899.90","$291,198.60",0.6%,0.4%,0.8%,China National Petroleum
4,"$387,056.00","$8,174.80","$572,309.50","$240,041.50",2.1%,1.4%,3.4%,State Grid
5,"$355,905.00","$110,974.50","$358,872.90","$271,062.40",31.2%,30.9%,40.9%,Saudi Aramco
6,"$303,738.00","$9,383.00","$282,176.00","$99,444.00",3.1%,3.3%,9.4%,BP
7,"$290,212.00","$20,840.00","$346,196.00","$191,794.00",7.2%,6%,10.9%,Exxon Mobil
8,"$278,341.50","$14,322.50","$523,672.30","$133,864.70",5.1%,2.7%,10.7%,Volkswagen
9,"$272,612.00","$16,982.00","$469,295.60","$174,827.40",6.2%,3.6%,9.7%,Toyota Motor
10,"$265,595.00","$59,531.00","$365,725.00","$107,147.00",22.4%,16.3%,55.6%,Apple
11,"$247,837.00","$4,021.00","$707,794.00","$348,703.00",1.6%,0.6%,1.2%,Berkshire Hathaway
12,"$232,887.00","$10,073.00","$162,648.00","$43,549.00",4.3%,6.2%,23.1%,Amazon.com
13,"$226,247.00","$11,986.00","$152,221.00","$51,696.00",5.3%,7.9%,23.2%,UnitedHealth Group
14,"$221,579.40","$39,895.20","$304,165.30","$215,173.40",18%,13.1%,18.5%,Samsung Electronics
15,"$219,754.00","$3,408.00","$128,672.00","$45,738.00",1.6%,2.6%,7.5%,Glencore
16,"$214,319.00",$34,"$59,672.00","$8,094.00",-,0.1%,0.4%,McKesson
17,"$197,515.30","$8,555.00","$321,890.50","$73,914.40",4.3%,2.7%,11.6%,Daimler
18,"$194,579.00",$-594,"$196,456.00","$58,225.00",-0.3%,-0.3%,-1%,CVS Health
19,"$184,106.00","$11,446.00","$256,762.00","$115,640.00",6.2%,4.5%,9.9%,Total
20,"$181,524.50","$3,159.50","$272,768.80","$18,747.30",1.7%,1.2%,16.9%,China State Construction Engineering
21,"$180,744.10",$849.2,"$53,801.00","$5,921.40",0.5%,1.6%,14.3%,Trafigura Group
22,"$175,617.00","$4,281.60","$110,012.90","$39,428.60",2.4%,3.9%,10.9%,Hon Hai Precision Industry
23,"$175,009.50","$1,589.70","$190,052.30","$13,956.00",0.9%,0.8%,11.4%,EXOR Group
24,"$170,756.00","$19,370.00","$531,864.00","$184,089.00",11.3%,3.6%,10.5%,AT&T
25,"$168,979.00","$45,002.30","$4,034,481.60","$339,368.30",26.6%,1.1%,13.3%,Industrial & Commercial Bank of China
26,"$167,939.60","$1,658.40","$37,669.80","$2,932.80",1%,4.4%,56.5%,AmerisourceBergen
27,"$166,339.00","$14,824.00","$253,863.00","$154,554.00",8.9%,5.8%,9.6%,Chevron
28,"$163,597.40","$16,237.20","$1,040,383.40","$81,056.30",9.9%,1.6%,20%,Ping An Insurance
29,"$160,338.00","$3,677.00","$256,540.00","$35,932.00",2.3%,1.4%,10.2%,Ford Motor
30,"$151,110.80","$38,498.40","$3,382,421.70","$287,874.90",25.5%,1.1%,13.4%,China Construction Bank
31,"$147,049.00","$8,014.00","$227,339.00","$38,860.00",5.4%,3.5%,20.6%,General Motors
32,"$145,243.30","$5,328.00","$149,388.30","$51,470.60",3.7%,3.6%,10.4%,Mitsubishi
33,"$143,302.90","$5,504.60","$184,504.60","$74,706.10",3.8%,3%,7.4%,Honda Motor
34,"$141,576.00","$3,134.00","$40,830.00","$12,799.00",2.2%,7.7%,24.5%,Costco Wholesale
35,"$139,523.60","$30,656.50","$3,293,105.00","$243,280.90",22%,0.9%,12.6%,Agricultural Bank of China
36,"$136,819.00","$30,736.00","$232,792.00","$177,628.00",22.5%,13.2%,17.3%,Alphabet
37,"$136,809.00",$256,"$39,951.00","$6,059.00",0.2%,0.6%,4.2%,Cardinal Health
38,"$136,392.50","$5,443.80","$114,011.70","$34,136.10",4%,4.8%,15.9%,SAIC Motor
39,"$131,537.00","$5,024.00","$68,124.00","$26,007.00",3.8%,7.4%,19.3%,Walgreens Boots Alliance
40,"$131,412.00","$32,474.00","$2,622,532.00","$256,515.00",24.7%,1.2%,12.7%,JPMorgan Chase & Co.
41,"$131,302.00","$23,199.10","$300,354.80","$191,957.50",17.7%,7.7%,12.1%,Gazprom
42,"$130,863.00","$15,528.00","$264,829.00","$53,145.00",11.9%,5.9%,29.2%,Verizon Communications
43,"$127,714.10","$27,225.20","$3,097,612.00","$234,933.10",21.3%,0.9%,11.6%,Bank of China
44,"$126,799.60","$8,806.40","$1,025,919.10","$69,988.20",6.9%,0.9%,12.6%,Allianz
45,"$125,578.20","$2,525.60","$1,063,784.40","$71,355.20",2%,0.2%,3.5%,AXA
46,"$121,162.00","$3,110.00","$38,118.00","$7,886.00",2.6%,8.2%,39.4%,Kroger
47,"$120,268.00","$-22,355.00","$309,129.00","$30,981.00",-18.6%,-7.2%,-72.2%,General Electric
48,"$120,101.00","$15,959.00","$3,418,318.00","$6,240.00",13.3%,0.5%,255.8%,Fannie Mae
49,"$119,145.00","$9,863.70","$82,734.80","$58,677.80",8.3%,11.9%,16.8%,Lukoil
50,"$116,171.50","$-2,566.90","$580,331.60","$10,762.40",-2.2%,-0.4%,-23.9%,China Life Insurance
51,"$115,220.50","$4,324.00","$2,585,802.00","$95,812.00",3.8%,0.2%,4.5%,Japan Post Holdings
52,"$115,042.80","$8,399.30","$238,864.10","$65,789.90",7.3%,3.5%,12.8%,BMW Group
53,"$114,217.00","$5,595.00","$54,302.00","$24,653.00",4.9%,10.3%,22.7%,Phillips 66
54,"$112,132.70","$1,240.90","$137,914.20","$12,529.10",1.1%,0.9%,9.9%,China Railway Engineering Group
55,"$112,096.00","$11,745.30","$255,216.60","$143,530.50",10.5%,4.6%,8.2%,China Mobile Communications
56,"$111,407.00","$3,122.00","$50,155.00","$21,667.00",2.8%,6.2%,14.4%,Valero Energy
57,"$110,584.00","$28,147.00","$2,354,507.00","$265,325.00",25.5%,1.2%,10.6%,Bank of America Corp.
58,"$110,455.90","$1,186.90","$134,180.20","$11,312.70",1.1%,0.9%,10.5%,China Railway Construction
59,"$110,360.00","$16,571.00","$258,848.00","$82,718.00",15%,6.4%,20%,Microsoft
60,"$109,030.40","$8,953.90","$96,973.70","$33,887.00",8.2%,9.2%,26.4%,Huawei Investment & Holding
61,"$108,203.00","$11,121.00","$44,003.00","$-1,878.00",10.3%,25.3%,-,Home Depot
62,"$108,130.40","$7,331.10","$177,193.60","$77,493.20",6.8%,4.1%,9.5%,China National Offshore Oil
63,"$107,146.90","$7,707.50","$201,456.10","$83,716.60",7.2%,3.8%,9.2%,Nippon Telegraph & Telephone
64,"$104,627.30","$4,514.30","$91,250.60","$26,537.50",4.3%,4.9%,17%,Itochu
65,"$104,390.60","$2,878.40","$171,251.00","$56,411.10",2.8%,1.7%,5.1%,Nissan Motor
66,"$103,072.90","$16,744.30","$2,356,616.20","$186,139.90",16.2%,0.7%,9%,China Development Bank
67,"$101,127.00","$10,460.00","$117,359.00",$339,10.3%,8.9%,3085.50%,Boeing
68,"$101,060.00","$22,393.00","$1,895,883.00","$196,166.00",22.2%,1.2%,11.4%,Wells Fargo
69,"$98,802.00","$6,908.90","$161,335.90","$52,813.50",7%,4.3%,13.1%,Siemens
70,"$97,120.00","$18,045.00","$1,917,383.00","$196,220.00",18.6%,0.9%,9.2%,Citigroup
71,"$97,102.00","$2,780.00","$92,940.00","$35,175.00",2.9%,3%,7.9%,Marathon Petroleum
72,"$95,904.50","$2,048.00","$107,069.10","$14,903.20",2.1%,1.9%,13.7%,SK Holdings
73,"$95,584.00","$7,173.00","$222,068.00","$71,544.00",7.5%,3.2%,10%,Petrobras
74,"$94,507.00","$11,731.00","$251,684.00","$71,613.00",12.4%,4.7%,16.4%,Comcast
75,"$93,512.50","$10,364.80","$139,045.10","$58,212.90",11.1%,7.5%,17.8%,Nestlé
76,"$92,601.90","$3,596.00","$95,616.50","$42,517.30",3.9%,3.8%,8.5%,Bosch Group
77,"$92,260.80",$-533.4,"$57,841.50","$12,513.60",-0.6%,-0.9%,-4.3%,Uniper
78,"$92,105.00","$3,750.00","$71,571.00","$28,541.00",4.1%,5.2%,13.1%,Anthem
79,"$91,986.00","$3,474.60","$209,651.50","$28,198.80",3.8%,1.7%,12.3%,China Resources
80,"$91,955.20",$-662.1,"$54,153.10","$10,480.20",-0.7%,-1.2%,-6.3%,Carrefour
81,"$90,934.20","$1,599.70","$66,397.10","$13,446.30",1.8%,2.4%,11.9%,Dongfeng Motor
82,"$90,799.80","$4,869.40","$135,300.30","$58,311.30",5.4%,3.6%,8.4%,ENI
83,"$90,621.00","$-2,310.00","$111,820.00","$-5,765.00",-2.5%,-2.1%,-,Dell Technologies
84,"$90,531.90","$9,217.10","$1,667,946.80","$110,267.50",10.2%,0.6%,8.4%,Banco Santander
85,"$90,055.00","$8,745.80","$189,980.10","$58,496.50",9.7%,4.6%,15%,Rosneft Oil
86,"$89,804.70","$2,660.30","$66,682.90","$26,822.70",3%,4%,9.9%,China FAW Group
87,"$89,358.10",$701.4,"$71,332.70","$7,449.80",0.8%,1%,9.4%,Sinochem Group
88,"$89,305.70","$5,651.80","$189,079.60","$36,256.00",6.3%,3%,15.6%,Enel
89,"$89,286.80","$2,556.20","$166,163.60","$35,326.70",2.9%,1.5%,7.2%,Deutsche Telekom
90,"$88,325.00","$5,192.70","$1,856,682.30","$67,221.00",5.9%,0.3%,7.7%,Crédit Agricole
91,"$88,157.40","$2,725.00","$589,590.30","$26,975.90",3.1%,0.5%,10.1%,Assicurazioni Generali
92,"$88,140.90","$1,585.20","$198,943.70","$17,186.30",1.8%,0.8%,9.2%,China Communications Construction
93,"$87,999.20","$1,370.80","$161,921.40","$60,925.00",1.6%,0.8%,2.3%,Hyundai Motor
94,"$87,403.30","$-9,377.90","$105,384.40","$-74,136.90",-10.7%,-8.9%,-,Pemex
