id,ceo,company_rank,Born,Nationality,Education,BoY,ceo_year
1,Doug McMillon,1,"October 17, 1966 (age 53 years), Memphis, TN",United States,"Bentonville High School, Sam M. Walton College of Business, The University of Tulsa, University of Arkansas",1966.0,2015.0
2,Wang Yupu,2,"October 1956 (age 63 years), Xinmin, Liaoning, Shenyang, China",China,Northeast Petroleum University,1956.0,2015.0
3,Ben van Beurden,3,"April 23, 1958 (age 62 years), Netherlands",Netherlands,Delft University of Technology (1981–1983),1958.0,2015.0
4,Wang Yilin,4,"September 1956 (age 63 years), Jiangsu, China",China,"China University of Petroleum, China University of Petroleum (Huadong)",1956.0,2015.0
5,Rex W. Tillerson,5,"March 23, 1952 (age 68 years), Wichita Falls, TX",United States,"The University of Texas at Austin (1975), MORE",1952.0,2015.0
6,Bob Dudley,6,"September 14, 1955 (age 64 years), Queens, New York, NY",United States,"University of Illinois at Urbana-Champaign, MORE",1955.0,2015.0
7,Shu Yinbiao,7,1958 (age 62 years),,North China Electric Power University,1958.0,2015.0
8,Martin Winterkorn,8,"May 24, 1947 (age 72 years), Leonberg, Germany",Germany,University of Stuttgart (1966–1973),1947.0,2015.0
9,Akio Toyoda,9,"May 3, 1956 (age 64 years), Nagoya, Aichi, Japan",Japan,"Babson College, Keio University",1956.0,2015.0
10,Ivan Glasenberg,10,"January 1957 (age 63 years), Johannesburg, South Africa",Africa,"Marshall Business School, USC, University of the Witwatersrand, Johannesburg, University of Southern California",1957.0,2015.0
11,Patrick Pouyanné,11,"June 24, 1963 (age 56 years), Le Petit-Quevilly, France",France,École Polytechnique,1963.0,2015.0
12,John S. Watson,12,"October 1956 (age 63 years), California",California,"The University of Chicago (1980), MORE",1956.0,2015.0
13,Kwon Oh-hyun,13,"October 15, 1952 (age 67 years), South Korea",South Korea,"Seoul National University (1975), Stanford University, KAIST",1952.0,2015.0
14,Warren Buffett,14,"August 30, 1930 (age 89 years), Omaha, NE",United States,"Columbia Business School (1950–1951), MORE",1930.0,2015.0
15,Tim Cook,15,"November 1, 1960 (age 59 years), Mobile, AL",United States,"The Fuqua School of Business (1988), MORE",1960.0,2015.0
16,John H. Hammergren,16,"February 20, 1959 (age 61 years), Saint Paul, MN",United States,"Williams College of Business (1987), MORE",1959.0,2015.0
17,Dieter Zetsche,17,"May 5, 1953 (age 67 years), İstanbul, Turkey",Turkey,"University of Paderborn, Karlsruhe Institute of Technology",1953.0,2015.0
18,Yi Huiman,18,"December 1964 (age 55 years), Cangnan County, Wenzhou, China",China,"Nanjing University, Zhejiang Financial College, Guanghua School of Management",1964.0,2015.0
19,John Elkann,19,"April 1, 1976 (age 44 years), New York, NY",United States,Polytechnic University of Turin,1976.0,2015.0
20,Henri de Castries,20,"August 15, 1954 (age 65 years), Bayonne, France",France,"École Nationale d'Administration (1980), HEC Paris""",1954.0,2015.0
21,Mary T. Barra,21,"December 24, 1961 (age 58 years), Waterford, MI",United States,"Stanford Graduate School of Business (1988–1990), Kettering University, Mott High School",1961.0,2015.0
22,Johannes Teyssen,22,"October 9, 1959 (age 60 years), Hildesheim, Germany",Germany,University of Göttingen,1959.0,2015.0
23,Greg Garland,23,,,Texas A&M University,,2015.0
24,Jeff Immelt,24,"February 19, 1956 (age 64 years), Cincinnati, OH",United States,"Harvard Business School (1982), Dartmouth College (1978), Harvard University, Finneytown Secondary Campus",1956.0,2015.0
25,Claudio Descalzi,25,"1955 (age 65 years), Milan, Italy",Italy,University of Milan,1955.0,2015.0
26,Aldemir Bendine,28,"December 10, 1963 (age 56 years), Paraguaçu Paulista, State of São Paulo, Brazil",Brazil,"PUC-Rio, Fundacao Instituto de Pesquisas Contabeis, Atuariais e Financeiras",1963.0,2015.0
27,Larry J. Merlo,30,"1956 (age 64 years), Pittsburgh, PA",United States,University of Pittsburgh School of Pharmacy (1978),1956.0,2015.0
28,Terry Gou,31,"October 18, 1950 (age 69 years), Banqiao District, Taipei, Taiwan",Taiwan,"Taipei College of Maritime Technology (1966–1971), New Taipei Municipal Panchiao Senior High School",1950.0,2015.0
29,Oliver Bäte,32,"March 1, 1965 (age 55 years), Bergisch Gladbach, Germany",Germany,"University of Cologne (1988–1993), NYU Stern School of Business (1988–1993)",1965.0,2015.0
30,Randall L. Stephenson,33,"April 22, 1960 (age 60 years), Oklahoma City, OK",United States,"The University of Oklahoma, University of Central Oklahoma",1960.0,2015.0
31,Joseph W. Gorder,34,May 1957 (age 63 years),,"University of Missouri-St. Louis, Our Lady of the Lake School of Business",1957.0,2015.0
32,Stephen J. Hemsley,35,"1952 (age 68 years), United States",United States,"Fordham University, Gabelli School of Business",1952.0,2015.0
33,Liu Shiyu,36,"November 1961 (age 58 years), Guanyun County, Lianyungang, China",China,Tsinghua University,1961.0,2015.0
34,Taizo Nishimuro,38,"December 19, 1935, Tsuru, Yamanashi, Japan",Japan,"Keio University, Musashi High School & Junior High School",1935.0,2015.0
35,Jeremy Weir,40,"1964 (age 56 years), Melbourne, Australia",Australia,University of Melbourne,1964.0,2015.0
36,Lowell C. McAdam,41,"May 28, 1954 (age 65 years), Buffalo, NY",United States,"University of San Diego School of Business Administration, MORE",1954.0,2015.0
37,Jean-Laurent Bonnafé,42,"July 14, 1961 (age 58 years), Clichy, France",France,"École Polytechnique, Lycée Louis-le-Grand",1961.0,2015.0
38,Takahiro Hachigo,44,"May 19, 1959 (age 60 years), Japan",Japan,Tokyo City University,1959.0,2015.0
39,Steven H. Collis,46,"1961 (age 59 years), South Africa",Africa,"University of the Witwatersrand, Johannesburg",1961.0,2015.0
40,Emilio Lozoya Austin,47,"December 9, 1974 (age 45 years), Mexico City, Mexico",Mexican,"Harvard University, National Autonomous University of Mexico, Instituto Tecnológico Autónomo de México",1974.0,2015.0
41,Mario Greco,48,"June 16, 1959 (age 60 years), Naples, Italy",Italy,Sapienza University of Rome,1959.0,2015.0
42,Frédéric Oudéa,49,"July 3, 1963 (age 56 years), Paris, France",France,"Sciences Po, École Nationale d'Administration, École Polytechnique""",1963.0,2015.0
43,Timothy J. Mayopoulos,50,"March 7, 1959 (age 61 years), West Reading, PA",United States,"Cornell University, NYU School of Law",1959.0,2015.0
44,W. Craig Jelinek,52,"August 8, 1952 (age 67 years), California",United States,San Diego State University (1975),1952.0,2015.0
45,Dion Weisler,53,"August 20, 1967 (age 52 years), Australia",Australia,Monash University,1967.0,2015.0
46,Rodney McMullen,54,"July 25, 1960 (age 59 years), Pineville, KY",United States,University of Kentucky,1960.0,2015.0
