id,CEO,Industry,Sector,HQ Location,Website,Years on Global 500 List,company,year
1,C. Douglas McMillon,General Merchandisers,Retailing,"Bentonville, AR",http://www.walmart.com,21,Walmart,2015
2,Wang Yupu,Petroleum Refining,Energy,"Beijing, China",http://www.sinopec.com,17,Sinopec Group,2015
3,Ben van Beurden,Petroleum Refining,Energy,"The Hague, Netherlands",http://www.shell.com,21,Royal Dutch Shell,2015
4,Wang Yilin,Petroleum Refining,Energy,"Beijing, China",http://www.cnpc.com.cn,15,China National Petroleum,2015
5,Rex W. Tillerson,Petroleum Refining,Energy,"Irving, TX",http://www.exxonmobil.com,21,Exxon Mobil,2015
6,Robert W. Dudley,Petroleum Refining,Energy,"London, Britain",http://www.bp.com,21,BP,2015
7,Shu Yinbiao,Utilities,Energy,"Beijing, China",http://www.sgcc.com.cn,15,State Grid,2015
8,Martin Winterkorn,Motor Vehicles and Parts,Motor Vehicles & Parts,"Wolfsburg, Germany",http://www.volkswagenag.com,21,Volkswagen,2015
9,Akio Toyoda,Motor Vehicles and Parts,Motor Vehicles & Parts,"Toyota, Japan",http://www.toyota-global.com,21,Toyota Motor,2015
10,Ivan Glasenberg,"Mining, Crude-Oil Production",Energy,"Baar, Switzerland",http://www.glencore.com,5,Glencore,2015
11,Patrick Pouyanné,Petroleum Refining,Energy,"Courbevoie, France",http://www.total.com,21,Total,2015
12,John S. Watson,Petroleum Refining,Energy,"San Ramon, CA",http://www.chevron.com,21,Chevron,2015
13,Oh-Hyun Kwon,"Electronics, Electrical Equip.",Technology,"Suwon, South Korea",http://www.samsung.com,21,Samsung Electronics,2015
14,Warren E. Buffett,Insurance: Property and Casualty (Stock),Financials,"Omaha, NE",http://www.berkshirehathaway.com,19,Berkshire Hathaway,2015
15,Timothy D. Cook,"Computers, Office Equipment",Technology,"Cupertino, CA",http://www.apple.com,13,Apple,2015
16,John H. Hammergren,Wholesalers: Health Care,Health Care,"San Francisco, CA",http://www.mckesson.com,21,McKesson,2015
17,Dieter Zetsche,Motor Vehicles and Parts,Motor Vehicles & Parts,"Stuttgart, Germany",http://www.daimler.com,21,Daimler,2015
18,Yi Huiman,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.icbc-ltd.com,17,Industrial & Commer. Bank of China,2015
19,John Elkann,Motor Vehicles and Parts,Motor Vehicles & Parts,"Turin, Italy",http://www.exor.com,5,EXOR Group,2015
20,Henri de Castries,"Insurance: Life, Health (stock)",Financials,"Paris, France",http://www.axa.com,21,AXA,2015
21,Mary T. Barra,Motor Vehicles and Parts,Motor Vehicles & Parts,"Detroit, MI",http://www.gm.com,21,General Motors,2015
22,Johannes Teyssen,Energy,Energy,"Düsseldorf, Germany",http://www.eon.com,21,E.ON,2015
23,Greg C. Garland,Petroleum Refining,Energy,"Houston, TX",http://www.phillips66.com,3,Phillips 66,2015
24,Jeffrey R. Immelt,Diversified Financials,Financials,"Fairfield, CT",http://www.ge.com,21,General Electric,2015
25,Claudio Descalzi,Petroleum Refining,Energy,"Rome, Italy",http://www.eni.com,21,ENI,2015
26,Alexey B. Miller,Energy,Energy,"Moscow, Russia",http://www.gazprom.com,19,Gazprom,2015
27,Mark Fields,Motor Vehicles and Parts,Motor Vehicles & Parts,"Dearborn, MI",http://www.ford.com,21,Ford Motor,2015
28,Aldemir Bendine,Petroleum Refining,Energy,"Rio de Janeiro, Brazil",http://www.petrobras.com.,21,Petrobras,2015
29,Zhang Jianguo,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.ccb.com,16,China Construction Bank,2015
30,Larry J. Merlo,Food and Drug Stores,Food & Drug Stores,"Woonsocket, RI",http://www.cvshealth.com,20,CVS Health,2015
31,Terry Gou,"Electronics, Electrical Equip.",Technology,"New Taipei City, Taiwan",http://www.foxconn.com,11,Hon Hai Precision Industry,2015
32,Oliver Bäte,Insurance: Property and Casualty (Stock),Financials,"Munich, Germany",http://www.allianz.com,21,Allianz,2015
33,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",http://www.att.com,21,AT&T,2015
34,Joseph Gorder,Petroleum Refining,Energy,"San Antonio, TX",http://www.valero.com,15,Valero Energy,2015
35,Stephen J. Hemsley,Health Care: Insurance and Managed Care,Health Care,"Minnetonka, MN",http://www.unitedhealthgroup.com,19,UnitedHealth Group,2015
36,Liu Shiyu,Banks: Commercial and Savings,Financials,"Beijing, China",http://www.abchina.com,16,Agricultural Bank of China,2015
37,Guan Qing,"Engineering, Construction",Engineering & Construction,"Beijing, China",http://www.cscec.com,4,China State Construction Engineering,2015
38,Taizo Nishimuro,"Insurance: Life, Health (stock)",Financials,"Tokyo, Japan",http://www.japanpost.jp,19,Japan Post Holdings,2015
39,Eulogio Del Pino,Petroleum Refining,Energy,"Caracas, Venezuela",http://www.pdvsa.com,17,PDVSA,2015
40,Jeremy Weir,Trading,Wholesalers,"Amsterdam, Netherlands",http://www.trafigura.com,1,Trafigura Beheer,2015
41,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY",http://www.verizon.com,21,Verizon,2015
