id,CEO,Sector,Industry,HQ Location,Employees,Website,Years on Global 500 List,company,year
1,C. Douglas McMillon,Retailing,General Merchandisers,"Bentonville, AR","2,300,000",http://www.walmart.com,22,Walmart,2016
2,Shu Yinbiao,Energy,Utilities,"Beijing, China","927,839",http://www.sgcc.com.cn,16,State Grid,2016
3,Wang Yilin,Energy,Petroleum Refining,"Beijing, China","1,589,508",http://www.cnpc.com.cn,16,China National Petroleum,2016
4,Wang Yupu,Energy,Petroleum Refining,"Beijing, China","810,538",http://www.sinopec.com,18,Sinopec Group,2016
5,Ben van Beurden,Energy,Petroleum Refining,"The Hague, Netherlands","90,000",http://www.shell.com,22,Royal Dutch Shell,2016
6,Darren W. Woods,Energy,Petroleum Refining,"Irving, TX","75,600",http://www.exxonmobil.com,22,Exxon Mobil,2016
7,Matthias Muller,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wolfsburg, Germany","610,076",http://www.volkswagen.com,22,Volkswagen,2016
8,Akio Toyoda,Motor Vehicles & Parts,Motor Vehicles and Parts,"Toyota, Japan","348,877",http://www.toyota-global.com,22,Toyota Motor,2016
9,Timothy D. Cook,Technology,"Computers, Office Equipment","Cupertino, CA","110,000",http://www.apple.com,14,Apple,2016
10,Robert W. Dudley,Energy,Petroleum Refining,"London, Britain","79,800",http://www.bp.com,22,BP,2016
11,Warren E. Buffett,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE","331,000",http://www.berkshirehathaway.com,20,Berkshire Hathaway,2016
12,John H. Hammergren,Wholesalers,Wholesalers: Health Care,"San Francisco, CA","68,000",http://www.mckesson.com,22,McKesson,2016
13,Oh-Hyun Kwon,Technology,"Electronics, Electrical Equip.","Suwon, South Korea","319,000",http://www.samsung.com,22,Samsung Electronics,2016
14,Ivan Glasenberg,Energy,"Mining, Crude-Oil Production","Baar, Switzerland","102,388",http://www.glencore.com,6,Glencore,2016
15,Yi Huiman,Financials,Banks: Commercial and Savings,"Beijing, China","466,346",http://www.icbc-ltd.com,18,Industrial & Commercial Bank of China,2016
16,Dieter Zetsche,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany","284,015",http://www.daimler.com,22,Daimler,2016
17,Stephen J. Hemsley,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN","200,000",http://www.unitedhealthgroup.com,20,UnitedHealth Group,2016
18,Larry J. Merlo,Food & Drug Stores,Food and Drug Stores,"Woonsocket, RI","199,000",http://www.cvshealth.com,21,CVS Health,2016
19,John Elkann,Financials,Diversified Financials,"Turin, Italy","303,247",http://www.exor.com,6,EXOR Group,2016
20,Mary T. Barra,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI","215,000",http://www.gm.com,22,General Motors,2016
21,Mark Fields,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI","199,000",http://www.ford.com,22,Ford Motor,2016
22,Wang Zuji,Financials,Banks: Commercial and Savings,"Beijing, China","369,183",http://www.ccb.com,17,China Construction Bank,2016
23,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX","281,450",http://www.att.com,22,AT&T,2016
24,Patrick Pouyanné,Energy,Petroleum Refining,"Courbevoie, France","96,019",http://www.total.com,22,Total,2016
25,Terry Gou,Technology,"Electronics, Electrical Equip.","New Taipei City, Taiwan","1,060,000",http://www.foxconn.com,12,Hon Hai Precision Industry,2016
26,Jeffrey R. Immelt,Industrials,Industrial Machinery,"Fairfield, CT","333,000",http://www.ge.com,22,General Electric,2016
27,Guan Qing,Engineering & Construction,"Engineering, Construction","Beijing, China","241,474",http://www.cscec.com,5,China State Construction Engineering,2016
28,Steven H. Collis,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA","17,000",http://www.amerisourcebergen.com,17,AmerisourceBergen,2016
29,Zhao Huan,Financials,Banks: Commercial and Savings,"Beijing, China","508,726",http://www.abchina.com,17,Agricultural Bank of China,2016
30,Lowell C. McAdam,Telecommunications,Telecommunications,"New York, NY","177,700",http://www.verizon.com,22,Verizon,2016
31,John S. Watson,Energy,Petroleum Refining,"San Ramon, CA","61,500",http://www.chevron.com,22,Chevron,2016
32,Johannes Teyssen,Energy,Energy,"Essen, Germany","56,490",http://www.eon.com,22,E.ON,2016
33,Henri de Castries,Financials,"Insurance: Life, Health (stock)","Paris, France","98,279",http://www.axa.com,22,AXA,2016
34,Oliver Bäte,Financials,Insurance: Property and Casualty (Stock),"Munich, Germany","142,459",http://www.allianz.com,22,Allianz,2016
35,Chen Siqing,Financials,Banks: Commercial and Savings,"Beijing, China","310,042",http://www.boc.cn,22,Bank of China,2016
36,Takahiro Hachigo,Motor Vehicles & Parts,Motor Vehicles and Parts,"Tokyo, Japan","208,399",http://www.honda.com,22,Honda Motor,2016
37,Masatsugu Nagato,Financials,"Insurance: Life, Health (stock)","Tokyo, Japan","250,876",http://www.japanpost.jp,20,Japan Post Holdings,2016
38,W. Craig Jelinek,Retailing,Specialty Retailers,"Issaquah, WA","161,000",http://www.costco.com,22,Costco,2016
39,Jean-Laurent Bonnafe,Financials,Banks: Commercial and Savings,"Paris, France","181,551",http://www.bnpparibas.com,22,BNP Paribas,2016
40,Timothy J. Mayopoulos,Financials,Diversified Financials,"Washington, DC","7,300",http://www.fanniemae.com,19,Fannie Mae,2016
41,Ma Mingzhe,Financials,"Insurance: Life, Health (stock)","Shenzhen, China","275,011",http://www.pingan.com,7,Ping An Insurance,2016
42,W. Rodney McMullen,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH","431,000",http://www.thekrogerco.com,22,Kroger,2016
43,Frédéric Oudéa,Financials,Banks: Commercial and Savings,"Paris, France","151,149",http://www.societegenerale.com,20,Société Générale,2016
44,Jeffrey P. Bezos,Technology,Internet Services and Retailing,"Seattle, WA","230,800",http://www.amazon.com,8,Amazon.com,2016
45,Li Yue,Telecommunications,Telecommunications,"Beijing, China","436,651",http://www.10086.cn%20,16,China Mobile Communications,2016
46,Chen Zhixin,Motor Vehicles & Parts,Motor Vehicles and Parts,"Shanghai, China","92,780",http://www.saicmotor.com,5,SAIC Motor,2016
47,Stefano Pessina,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL","302,500",http://www.walgreensbootsalliance.com,22,Walgreens Boots Alliance,2016
48,Dion J. Weisler,Technology,"Computers, Office Equipment","Palo Alto, CA","287,000",http://www.hp.com,22,HP,2016
49,Philippe Donnet,Financials,"Insurance: Life, Health (stock)","Trieste, Italy","76,191",http://www.generali.com,22,Assicurazioni Generali,2016
50,George S. Barrett,Wholesalers,Wholesalers: Health Care,"Dublin, OH","34,500",http://www.cardinalhealth.com,19,Cardinal Health,2016
51,Harald Krüger,Motor Vehicles & Parts,Motor Vehicles and Parts,"Munich, Germany","122,244",http://www.bmwgroup.com,22,BMW,2016
52,Timothy C. Wentworth,Health Care,Miscellaneous,"St. Louis, MO","25,900",http://www.express-scripts.com,14,Express Scripts Holding,2016
53,Carlos Ghosn,Motor Vehicles & Parts,Motor Vehicles and Parts,"Yokohama, Japan","152,421",http://www.nissan-global.com,22,Nissan Motor,2016
54,Yang Mingsheng,Financials,"Insurance: Life, Health (stock)","Beijing, China","130,732",http://www.chinalife.com.cn,14,China Life Insurance,2016
55,James Dimon,Financials,Banks: Commercial and Savings,"New York, NY","234,598",http://www.jpmorganchase.com,22,J.P. Morgan Chase,2016
56,Alexey B. Miller,Energy,Energy,"Moscow, Russia","462,400",http://www.gazprom.com,20,Gazprom,2016
57,Yao Guiqing,Engineering & Construction,"Engineering, Construction","Beijing, China","281,824",http://www.crecg.com,2,China Railway Engineering,2016
58,Pedro Pullen Parente,Energy,Petroleum Refining,"Rio de Janeiro, Brazil","78,470",http://www.petrobras.com.br,22,Petrobras,2016
59,Jeremy Weir,Wholesalers,Trading,"Singapore, Singapore","5,248",http://www.trafigura.com,2,Trafigura Group,2016
60,Hiroo Unoura,Telecommunications,Telecommunications,"Tokyo, Japan","241,450",http://www.ntt.co.jp,22,Nippon Telegraph & Telephone,2016
61,Dennis A. Muilenburg,Aerospace & Defense,Aerospace and Defense,"Chicago, IL","161,400",http://www.boeing.com,22,Boeing,2016
62,Meng Fengchao,Engineering & Construction,"Engineering, Construction","Beijing, China","284,100",http://www.crcc.cn,5,China Railway Construction,2016
63,Satya Nadella,Technology,Computer Software,"Redmond, WA","118,000",http://www.microsoft.com,19,Microsoft,2016
64,Brian T. Moynihan,Financials,Banks: Commercial and Savings,"Charlotte, NC","213,280",http://www.bankofamerica.com,22,Bank of America Corp.,2016
65,Claudio Descalzi,Energy,Petroleum Refining,"Rome, Italy","81,954",http://www.eni.com,22,ENI,2016
66,Paul Bulcke,"Food, Beverages & Tobacco",Food Consumer Products,"Vevey, Switzerland","335,000",http://www.nestle.com,22,Nestlé,2016
67,Timothy J. Sloan,Financials,Banks: Commercial and Savings,"San Francisco, CA","264,700",http://www.wellsfargo.com,19,Wells Fargo,2016
68,Stuart T. Gulliver,Financials,Banks: Commercial and Savings,"London, Britain","264,000",http://www.hsbc.com,22,HSBC Holdings,2016
69,Craig A. Menear,Retailing,Specialty Retailers,"Atlanta, GA","385,000",http://www.homedepot.com,22,Home Depot,2016
70,Michael L. Corbat,Financials,Banks: Commercial and Savings,"New York, NY","231,000",http://www.citigroup.com,22,Citigroup,2016
71,Josef Kaeser,Industrials,"Electronics, Electrical Equip.","Munich, Germany","348,000",http://www.siemens.com,22,Siemens,2016
72,David J. Lewis,Food & Drug Stores,Food and Drug Stores,"Welwyn Garden City, Britain","357,835",http://www.tescoplc.com,22,Tesco,2016
73,Georges Plassat,Food & Drug Stores,Food and Drug Stores,"Boulogne-Billancourt, France","380,920",http://www.carrefour.com,22,Carrefour,2016
74,Greg C. Garland,Energy,Petroleum Refining,"Houston, TX","14,000",http://www.phillips66.com,4,Phillips 66,2016
75,José Antonio Álvarez,Financials,Banks: Commercial and Savings,"Madrid, Spain","191,038",http://www.santander.com,22,Banco Santander,2016
76,Vagit Y. Alekperov,Energy,Petroleum Refining,"Moscow, Russia","106,200",http://www.lukoil.com,17,Lukoil,2016
77,Philippe Brassac,Financials,Banks: Commercial and Savings,"Paris, France","71,499",http://www.credit-agricole.com,22,Crédit Agricole,2016
78,Francesco Starace,Energy,Utilities,"Rome, Italy","67,914",http://www.enel.com,22,Enel,2016
79,Toshiaki Higashihara,Industrials,"Electronics, Electrical Equip.","Tokyo, Japan","335,244",http://www.hitachi.com,22,Hitachi,2016
80,Jean-Bernard Lévy,Energy,Utilities,"Paris, France","156,312",http://www.edf.fr,22,Électricité de France,2016
81,Zhu YanFeng,Motor Vehicles & Parts,Motor Vehicles and Parts,"Wuhan, China","191,950",http://www.dfmc.com.cn,7,Dongfeng Motor Group,2016
82,Virginia M. Rometty,Technology,Information Technology Services,"Armonk, NY","411,798",http://www.ibm.com,22,IBM,2016
83,Joseph Gorder,Energy,Petroleum Refining,"San Antonio, TX","10,103",http://www.valero.com,16,Valero Energy,2016
84,Mong-Koo Chung,Motor Vehicles & Parts,Motor Vehicles and Parts,"Seoul, South Korea","129,315",http://worldwide.hyundai.com,21,Hyundai Motor,2016
85,Joseph R. Swedish,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN","53,000",http://www.antheminc.com,15,Anthem,2016
86,David S. Taylor,Household Products,Household and Personal Products,"Cincinnati, OH","110,000",http://www.pg.com,22,Procter & Gamble,2016
87,Volkmar Denner,Motor Vehicles & Parts,Motor Vehicles and Parts,"Stuttgart, Germany","374,778",http://www.bosch.com,22,Robert Bosch,2016
88,Kurt W. Bock,Chemicals,Chemicals,"Ludwigshafen, Germany","108,048",http://www.basf.com,22,BASF,2016
89,Isabelle Kocher,Energy,Energy,"Courbevoie, France","154,935",http://www.engie.com,21,Engie,2016
90,Timotheus Höttges,Telecommunications,Telecommunications,"Bonn, Germany","226,000",http://www.telekom.com,22,Deutsche Telekom,2016
91,Xi Luo,Retailing,General Merchandisers,"Hong Kong, China","447,348",http://www.crc.com.hk,7,China Resources National,2016
92,Masayoshi Son,Telecommunications,Telecommunications,"Tokyo, Japan","63,591",http://www.softbank.jp,9,SoftBank Group,2016
93,Michael L. Tipsord,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL","70,425",http://www.statefarm.com,22,State Farm Insurance Cos.,2016
94,Larry Page,Technology,Internet Services and Retailing,"Mountain View, CA","61,814",http://www.abc.xyz,8,Alphabet,2016
95,Zhao Jianguo,Energy,Utilities,"Guangzhou, China","303,301",http://www.csg.cn,12,China Southern Power Grid,2016
96,Brian L. Roberts,Telecommunications,Telecommunications,"Philadelphia, PA","153,000",http://www.comcastcorporation.com,14,Comcast,2016
97,Brian C. Cornell,Retailing,General Merchandisers,"Minneapolis, MN","341,000",http://www.target.com,22,Target,2016
98,José Antonio González Anaya,Energy,"Mining, Crude-Oil Production","Mexico City, Mexico","130,447",http://www.pemex.com,22,Pemex,2016
99,Yan Hao,Engineering & Construction,"Engineering, Construction","Nanjing, China","351,679",http://www.cpcg.com.cn,3,Pacific Construction Group,2016
100,Thomas Enders,Aerospace & Defense,Aerospace and Defense,"Leiden, Netherlands","136,574",http://www.airbusgroup.com,22,Airbus Group,2016
101,Olaf Koch,Food & Drug Stores,Food and Drug Stores,"Düsseldorf, Germany","203,773",http://www.metrogroup.de,21,Metro,2016
102,Xu Liuping,Aerospace & Defense,Aerospace and Defense,"Beijing, China","238,287",http://www.chinasouth.com.cn,7,China South Industries Group,2016
103,Alex Gorsky,Health Care,Pharmaceuticals,"New Brunswick, NJ","127,100",http://www.jnj.com,16,Johnson & Johnson,2016
104,Steven A. Kandarian,Financials,"Insurance: Life, Health (stock)","New York, NY","69,000",http://www.metlife.com,22,MetLife,2016
105,Li Guohua,Transportation,"Mail, Package, and Freight Delivery","Beijing, China","938,494",http://www.chinapost.com.cn,6,China Post Group,2016
106,Nikolaus von Bomhard,Financials,Insurance: Property and Casualty (Stock),"Munich, Germany","43,554",http://www.munichre.com,22,Munich Re Group,2016
107,Megan J. Brennan,Transportation,"Mail, Package, and Freight Delivery","Washington, DC","556,850",http://www.usps.com,22,U.S. Postal Service,2016
108,Frank Appel,Transportation,"Mail, Package, and Freight Delivery","Bonn, Germany","450,508",http://www.dpdhl.com,22,Deutsche Post,2016
109,Yang Hua,Energy,"Mining, Crude-Oil Production","Beijing, China","110,200",http://www.cnooc.com.cn,10,China National Offshore Oil,2016
110,Liu Qitao,Engineering & Construction,"Engineering, Construction","Beijing, China","136,655",http://www.ccccltd.cn,9,China Communications Construction,2016
111,Motoya Okada,Retailing,General Merchandisers,"Chiba, Japan","265,736",http://www.aeon.info,22,AEON,2016
112,Juan R. Luciano,"Food, Beverages & Tobacco",Food Production,"Chicago, IL","32,300",http://www.adm.com,22,Archer Daniels Midland,2016
113,Kazuo Hirai,Technology,"Electronics, Electrical Equip.","Tokyo, Japan","125,300",http://www.sony.net,22,Sony,2016
114,Yoshinobu Tsutsui,Financials,"Insurance: Life, Health (Mutual)","Osaka, Japan","73,578",http://www.nissay.co.jp,22,Nippon Life Insurance,2016
115,Alexandre Corrêa Abreu,Financials,Banks: Commercial and Savings,"Brasília, Brazil","109,191",http://www.bb.com.br,22,Banco do Brasil,2016
116,William J. Randall,Wholesalers,Trading,"Hong Kong, China","1,500",http://www.thisisnoble.com,9,Noble Group,2016
117,Ralph Hamers,Financials,Banks: Commercial and Savings,"Amsterdam, Netherlands","57,553",http://www.ing.com,22,ING Group,2016
118,Igor I. Sechin,Energy,Petroleum Refining,"Moscow, Russia","261,500",http://www.rosneft.com,11,Rosneft Oil,2016
119,Wu Yan,Financials,Insurance: Property and Casualty (Stock),"Beijing, China","172,213",http://www.picc.com.cn,7,People’s Insurance Co. of China,2016
120,Gary R. Heminger,Energy,Petroleum Refining,"Findlay, OH","45,440",http://www.marathonpetroleum.com%20,5,Marathon Petroleum,2016
121,Yu Xubo,Wholesalers,Trading,"Beijing, China","121,767",http://www.cofco.com,22,COFCO,2016
122,Wang Yuzhu,Wholesalers,Trading,"Tianjin, China","17,860",http://www.tewoo.com,5,Tewoo Group,2016
123,Lakshmi N. Mittal,Materials,Metals,Luxembourg,"209,404",http://www.arcelormittal.com,12,ArcelorMittal,2016
124,Donald H. Layton,Financials,Diversified Financials,"McLean, VA","5,439",http://www.freddiemac.com,20,Freddie Mac,2016
125,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,"Kuala Lumpur, Malaysia","53,149",http://www.petronas.com.my,20,Petronas,2016
126,Michael A. Wells,Financials,"Insurance: Life, Health (stock)","London, Britain","23,924",http://www.prudential.co.uk,21,Prudential,2016
127,Indra K. Nooyi,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY","263,000",http://www.pepsico.com,22,PepsiCo,2016
128,Kazuhiro Tsuga,Technology,"Electronics, Electrical Equip.","Osaka, Japan","249,520",http://www.panasonic.com/global,22,Panasonic,2016
129,Ren Zhengfei,Technology,Network and Other Communications Equipment,"Shenzhen, China","170,000",http://www.huawei.com,7,Huawei Investment & Holding,2016
130,Xu Ping,Motor Vehicles & Parts,Motor Vehicles and Parts,"Changchun, China","132,083",http://www.faw.com.,12,China FAW Group,2016
131,Yukio Uchida,Energy,Petroleum Refining,"Tokyo, Japan","26,339",http://www.hd.jx-group.co.jp,22,JX Holdings,2016
132,Yang Jie,Telecommunications,Telecommunications,"Beijing, China","417,101",http://www.chinatelecom.com.cn,17,China Telecommunications,2016
133,Vittorio Colao,Telecommunications,Telecommunications,"Newbury, Britain","111,684",http://www.vodafone.com,17,Vodafone Group,2016
134,Yin Jiaxu,Aerospace & Defense,Aerospace and Defense,"Beijing, China","241,309",http://www.norincogroup.com.cn,7,China North Industries Group,2016
135,Koichiro Watanabe,Financials,"Insurance: Life, Health (stock)","Tokyo, Japan","54,617",http://www.dai-ichi-life.co.jp,22,Dai-ichi Life Insurance,2016
136,Gregory J. Hayes,Aerospace & Defense,Aerospace and Defense,"Farmington, CT","197,200",http://www.utc.com,22,United Technologies,2016
137,José María Álvarez-Pallete López,Telecommunications,Telecommunications,"Madrid, Spain","129,890",http://www.telefonica.com,22,Telefónica,2016
138,Fumiya Kokubu,Wholesalers,Trading,"Tokyo, Japan","39,914",http://www.marubeni.com,22,Marubeni,2016
139,Ning Gaoning,Wholesalers,Trading,"Beijing, China","53,432",http://www.sinochem.com,21,Sinochem Group,2016
140,Carlos Tavares,Motor Vehicles & Parts,Motor Vehicles and Parts,"Paris, France","187,347",http://www.psa-peugeot-citroen.com,22,Peugeot,2016
141,Mario Greco,Financials,Insurance: Property and Casualty (Stock),"Zurich, Switzerland","54,335",http://www.zurich.com,22,Zurich Insurance Group,2016
142,Mark T. Bertolini,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT","50,100",http://www.aetna.com,16,Aetna,2016
143,Tan Ruisong,Aerospace & Defense,Aerospace and Defense,"Beijing, China","542,236",http://www.avic.com.cn,8,Aviation Industry Corp. of China,2016
144,Vianney Mulliez,Food & Drug Stores,Food and Drug Stores,"Croix, France","337,737",http://www.auchan.com,20,Auchan Holding,2016
145,Eldar Saetre,Energy,Petroleum Refining,"Stavanger, Norway","21,581",http://www.statoil.com,22,Statoil,2016
146,Tevin Vongvanich,Energy,Petroleum Refining,"Bangkok, Thailand","24,790",http://www.pttplc.com,13,PTT,2016
147,Paul Polman,Household Products,Household and Personal Products,"London, Britain/Netherlands","171,000",http://www.unilever.com,22,Unilever,2016
148,Robert A. Niblock,Retailing,Specialty Retailers,"Mooresville, NC","225,000",http://www.lowes.com,19,Lowe’s,2016
149,David P. Abney,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA","341,240",http://www.ups.com,22,UPS,2016
150,Peter D. Hancock,Financials,Insurance: Property and Casualty (Stock),"New York, NY","66,400",http://www.aig.com,21,AIG,2016
151,Takehiko Kakiuchi,Wholesalers,Trading,"Tokyo, Japan","68,247",http://www.mitsubishicorp.com,22,Mitsubishi,2016
152,John R. Strangfeld Jr.,Financials,"Insurance: Life, Health (stock)","Newark, NJ","49,384",http://www.prudential.com,22,Prudential Financial,2016
153,Niu Ximing,Financials,Banks: Commercial and Savings,"Shanghai, China","93,770",http://www.bankcomm.com,8,Bank of Communications,2016
154,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,"Mexico City, Mexico","195,475",http://www.americamovil.com,10,América Móvil,2016
155,François Pérol,Financials,Banks: Commercial and Savings,"Paris, France","102,886",http://www.groupebpce.fr,7,Groupe BPCE,2016
156,Chang Zhenming,Financials,Diversified Financials,"Beijing, China","194,795",http://www.group.citic,8,CITIC Group,2016
157,Gonzalo Ramirez Martiarena,"Food, Beverages & Tobacco",Food Production,"Rotterdam, Netherlands","17,555",http://www.ldcom.com,3,Louis Dreyfus,2016
158,Brian M. Krzanich,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA","107,300",http://www.intel.com,22,Intel,2016
