id,Revenues_$M,Profits_$M,Assets_$M,Employees,Profit_as_%_of_Revenues,Profits_as_%_of_Assets,Profits_as_%_of_Stockholder_Equity,company,year
1,"485,651","16,363","203,706","2,200,000",3.4%,8%,20.1%,Walmart,2015
2,"446,811","5,177","359,182.2","897,488",1.2%,1.4%,4.4%,Sinopec Group,2015
3,"431,344","14,874","353,116","94,000",3.4%,4.2%,8.6%,Royal Dutch Shell,2015
4,"428,620","16,359.5","634,811.5","1,636,532",3.8%,2.6%,5.1%,China National Petroleum,2015
5,"382,597","32,520","349,493","83,700",8.5%,9.3%,18.6%,Exxon Mobil,2015
6,"358,678","3,780","284,305","84,500",1.1%,1.3%,3.4%,BP,2015
7,"339,426.5","9,796.2","466,298.1","921,964",2.9%,2.1%,4.9%,State Grid,2015
8,"268,566.6","14,571.9","424,935.3","592,586",5.4%,3.4%,13.4%,Volkswagen,2015
9,"247,702.9","19,766.9","398,047.1","344,109",8%,5%,14.1%,Toyota Motor,2015
10,"221,073","2,308","152,205","106,831",1%,1.5%,4.8%,Glencore,2015
11,"212,018","4,244","229,798","100,307",2%,1.8%,4.7%,Total,2015
12,"203,784","19,241","266,026","64,700",9.4%,7.2%,12.4%,Chevron,2015
13,"195,845.3","21,922.7","209,666","307,000",11.2%,10.5%,14.9%,Samsung Electronics,2015
14,"194,673","19,872","526,186","316,000",10.2%,3.8%,8.3%,Berkshire Hathaway,2015
15,"182,795","39,510","231,839","97,200",21.6%,17%,35.4%,Apple,2015
16,"181,241","1,476","53,870","70,400",0.8%,2.7%,18.4%,McKesson,2015
17,"172,279.1","9,235.3","229,443.4","279,972",5.4%,4%,17.5%,Daimler,2015
18,"163,174.9","44,763.9","3,322,042.7","462,282",27.4%,1.3%,18.1%,Industrial & Commer. Bank of China,2015
19,"162,163",428.5,"182,104.1","318,562",0.3%,0.2%,4.4%,EXOR Group,2015
20,"161,173.4","6,664.5","1,016,417.4","96,279",4.1%,0.7%,8.4%,AXA,2015
21,"155,929","3,949","177,677","216,000",2.5%,2.2%,11.1%,General Motors,2015
22,"151,460.5","-4,191.8","152,075","58,503",-2.8%,-2.8%,-14.1%,E.ON,2015
23,"149,434","4,762","48,741","14,000",3.2%,9.8%,22.1%,Phillips 66,2015
24,"148,321","15,233","648,349","305,000",10.3%,2.3%,11.9%,General Electric,2015
25,"147,175.8","1,712.6","176,899","84,405",1.2%,1%,2.4%,ENI,2015
26,"144,408.5","4,124.4","253,591.8","459,600",2.9%,1.6%,2.5%,Gazprom,2015
27,"144,077","3,187","208,527","187,000",2.2%,1.5%,12.8%,Ford Motor,2015
28,"143,657","-7,367","298,687","80,908",-5.1%,-2.5%,-6.3%,Petrobras,2015
29,"139,932.5","36,976.6","2,698,924.9","372,321",26.4%,1.4%,18.5%,China Construction Bank,2015
30,"139,367","4,644","74,252","177,800",3.3%,6.3%,12.2%,CVS Health,2015
31,"139,039.4","4,307.8","77,934","1,060,000",3.1%,5.5%,14.6%,Hon Hai Precision Industry,2015
32,"136,846.2","8,252.3","974,938.9","147,425",6%,0.8%,11.2%,Allianz,2015
33,"132,447","6,224","292,829","243,620",4.7%,2.1%,7.2%,AT&T,2015
34,"130,844","3,630","45,550","10,065",2.8%,8%,17.6%,Valero Energy,2015
35,"130,474","5,619","86,382","170,000",4.3%,6.5%,17.3%,UnitedHealth Group,2015
36,"130,047.7","29,126.4","2,574,815","505,627",22.4%,1.1%,17.5%,Agricultural Bank of China,2015
37,"129,887.1","2,079.1","148,914.8","247,672",1.6%,1.4%,15.8%,China State Construction Engineering,2015
38,"129,686.7","4,390.1","2,467,265.4","221,000",3.4%,0.2%,4.7%,Japan Post Holdings,2015
39,"128,439","7,386","226,760","152,072",5.8%,3.3%,10.9%,PDVSA,2015
40,"127,612.6","1,039.7","39,574.8","5,326",0.8%,2.6%,19.8%,Trafigura Beheer,2015
