id,rank,company,revenues,revenue % change,profits($M),assets($M),profits % change,employees,change in rank 500,year
0,1,Walmart,"$485,873",0.8%,"$13,643","$198,825",-7.2%,"2,300,000",-,2017
1,2,State Grid,"$315,199",-4.4%,"$9,571.3","$489,838",-6.2%,"926,067",-,2017
2,3,Sinopec Group,"$267,518",-9.1%,"$1,257.9","$310,726",-65%,"713,288",1,2017
3,4,China National Petroleum,"$262,573",-12.3%,"$1,867.5","$585,619",-73.7%,"1,512,048",-1,2017
4,5,Toyota Motor,"$254,694",7.7%,"$16,899.3","$437,575",-12.3%,"364,445",3,2017
5,6,Volkswagen,"$240,264",1.5%,"$5,937.3","$432,116",-,"626,715",1,2017
6,7,Royal Dutch Shell,"$240,033",-11.8%,"$4,575","$411,275",135.9%,"89,000",-2,2017
7,8,Berkshire Hathaway,"$223,604",6.1%,"$24,074","$620,854",-,"367,700",3,2017
8,9,Apple,"$215,639",-7.7%,"$45,687","$321,686",-14.4%,"116,000",-,2017
9,10,Exxon Mobil,"$205,004",-16.7%,"$7,840","$330,314",-51.5%,"72,700",-4,2017
10,11,McKesson,"$198,533",3.1%,"$5,070","$60,969",124.5%,"64,500",1,2017
11,12,BP,"$186,606",-17.4%,$115,"$263,316",-,"74,500",-2,2017
12,13,UnitedHealth Group,"$184,840",17.7%,"$7,017","$122,810",20.7%,"230,000",4,2017
13,14,CVS Health,"$177,526",15.8%,"$5,317","$94,462",1.5%,"204,000",4,2017
14,15,Samsung Electronics,"$173,957",-2%,"$19,316.5","$217,104",16.8%,"325,000",-2,2017
15,16,Glencore,"$173,883",2%,"$1,379","$124,600",-,"93,123",-2,2017
16,17,Daimler,"$169,483",2.2%,"$9,428.4","$256,262",0.9%,"282,488",-1,2017
17,18,General Motors,"$166,380",9.2%,"$9,427","$221,690",-2.7%,"225,000",2,2017
18,19,AT&T,"$163,786",11.6%,"$12,976","$403,821",-2.8%,"268,540",4,2017
19,20,EXOR Group,"$154,894",1.5%,$651.3,"$186,172",-21.1%,"302,562",-1,2017
20,21,Ford Motor,"$151,800",1.5%,"$4,596","$237,951",-37.7%,"201,000",-,2017
21,22,Industrial & Commercial Bank of China,"$147,675",-11.7%,"$41,883.9","$3,473,238",-5%,"461,749",-7,2017
22,23,AmerisourceBergen,"$146,850",8%,"$1,427.9","$33,656",-,"18,500",5,2017
23,24,China State Construction Engineering,"$144,505",3.1%,"$2,492.9","$201,269",10.7%,"263,915",3,2017
24,25,AXA,"$143,722",11.2%,"$6,446","$941,556",3.5%,"97,707",8,2017
25,26,Amazon.com,"$135,987",27.1%,"$2,371","$83,402",297.8%,"341,400",18,2017
26,27,Hon Hai Precision Industry,"$135,129",-4.3%,"$4,608.8","$80,436",-0.4%,"726,772",-2,2017
27,28,China Construction Bank,"$135,093",-8.7%,"$34,840.9","$3,016,578",-4%,"362,482",-6,2017
28,29,Honda Motor,"$129,198",6.2%,"$5,690.3","$170,165",98.3%,"211,915",7,2017
29,30,Total,"$127,925",-10.8%,"$6,196","$230,978",21.8%,"102,168",-6,2017
30,31,General Electric,"$126,661",-9.8%,"$8,831","$365,183",-,"295,000",-5,2017
31,32,Verizon,"$125,980",-4.3%,"$13,127","$244,180",-26.6%,"160,900",-2,2017
32,33,Japan Post Holdings,"$122,990",3.6%,$-267.4,"$2,631,385",-107.5%,"248,384",4,2017
33,34,Allianz,"$122,196",-0.6%,"$7,611.5","$932,091",3.7%,"140,253",-,2017
34,35,Cardinal Health,"$121,546",18.5%,"$1,427","$34,122",17.4%,"37,300",15,2017
35,36,Costco,"$118,719",2.2%,"$2,350","$33,163",-1.1%,"172,000",2,2017
36,37,Walgreens Boots Alliance,"$117,351",13.4%,"$4,173","$72,688",-1.1%,"300,000",10,2017
37,38,Agricultural Bank of China,"$117,275",-12.1%,"$27,687.8","$2,816,039",-3.6%,"501,368",-9,2017
38,39,Ping An Insurance,"$116,581",5.7%,"$9,392","$802,490",8.9%,"318,588",2,2017
39,40,Kroger,"$115,337",5%,"$1,975","$36,505",-3.1%,"443,000",2,2017
40,41,SAIC Motor,"$113,861",6.7%,"$4,818.2","$84,989",1.6%,"97,582",5,2017
41,42,Bank of China,"$113,708",-7.1%,"$24,773.4","$2,611,539",-8.9%,"308,900",-7,2017
42,43,BNP Paribas,"$109,026",-2.2%,"$8,517.2","$2,190,423",14.7%,"184,839",-4,2017
43,44,Nissan Motor,"$108,164",6.5%,"$6,123.4","$165,344",40.3%,"137,250",9,2017
44,45,Chevron,"$107,567",-18%,$-497,"$260,078",-110.8%,"55,200",-14,2017
45,46,Fannie Mae,"$107,162",-2.9%,"$12,313","$3,287,968",12.4%,"7,000",-6,2017
